Phantom,Source Organ,Source Type,Source Energy (MeV),Organ ID,Marrow mass (kg),Endosteum mass (kg),Total fluence (photons/m2/source),Marrow excluded fluence (photons/m2/source),Endosteum excluded fluence (photons/m2/source),Marrow dose (Gy/source),Marrow Relative Error,Marrow Statistical Uncertainty (%),Endosteum dose (Gy/source),Endosteum Relative Error,Endosteum Statistical Uncertainty (%),Marrow mass fraction,Endosteum mass fraction,Total Active Marrow Mass (kg),Total Endosteum Mass (kg),RBM Dose (Gy/source),RBM Relative Error,RBM Statistical Uncertainty (%),RBM SAF (kg^-1),RBM SAF Statistical Uncertainty (kg^-1),Endosteum Dose (Gy/source),Endosteum SAF (kg^-1),Endosteum SAF Statistical Uncertainty (kg^-1)
Adult Female,Liver,photon,10.0,3000,,0.00067,0.312494,,0.0,,,,6.965786211726923e-17,,,,0.001644131432357488,,,,,,,,,,
Adult Female,Liver,photon,10.0,3200,,0.02367,0.0236935,,0.0,,,,1.6638527460056356e-17,,,,0.05808446418492797,,,,,,,,,,
Adult Female,Liver,photon,10.0,3300,,0.00033,0.1046735,,0.0,,,,1.3274742915400541e-17,,,,0.0008097960786238374,,,,,,,,,,
Adult Female,Liver,photon,10.0,3500,,0.07991,0.03288037,,0.0,,,,4.1713066477394327e-17,,,,0.1960933474025177,,,,,,,,,,
Adult Female,Liver,photon,10.0,3600,,0.0045899999999999995,0.023962,,0.0,,,,1.6263875911986494e-17,,,,0.011263527275404282,,,,,,,,,,
Adult Female,Liver,photon,10.0,3800,,0.024399999999999998,0.0086566,,0.0,,,,1.1609295895694837e-17,,,,0.05987583126794434,,,,,,,,,,
Adult Female,Liver,photon,10.0,4000,0.0072,0.0016,0.20704347,0.0,0.0,1.5442859456917563e-16,0.6230978068888365,62.309780688883656,1.5530441695626423e-16,,,0.008008008008008008,0.003926284017570121,,,,,,,,,,
Adult Female,Liver,photon,10.0,4200,0.1575,0.039700000000000006,0.8526336,0.0,0.0,3.275554449479673e-16,0.1319101427976896,13.19101427976896,3.297501547425995e-16,,,0.17517517517517517,0.09742092218595863,,,,,,,,,,
Adult Female,Liver,photon,10.0,4400,0.1449,0.0229,2.4166694399999997,0.0,0.0,9.904010248210754e-16,0.05627782997795425,5.627782997795425,9.998090384037827e-16,,,0.16116116116116116,0.05619494000147235,,,,,,,,,,
Adult Female,Liver,photon,10.0,4600,0.0252,0.0076,0.937192,0.0,0.0,3.8282413546689667e-16,0.18002817485736555,18.002817485736557,3.865547809815897e-16,,,0.028028028028028028,0.018649849083458073,,,,,,,,,,
Adult Female,Liver,photon,10.0,4800,0.0351,0.0088,0.8931544000000001,0.0,0.0,5.69621924559136e-16,0.31920668692802595,31.920668692802597,5.713846230357263e-16,,,0.03903903903903904,0.021594562096635666,,,,,,,,,,
