Phantom,Source Organ ID,Source Organ Name,Source Type,Source Energy (MeV),Target Organ ID,Target Organ Name,Target Organ Mass (g),Dose (Gy/source),SAF (kg^-1),Relative Error,Statistical Uncertainty (%)
Adult Female,9500,Liver,photon,10.0,2900,Femora_upper_spongiosa,232.80407020022523,7.393932787e-17,4.614929858601345e-05,0.9994998749,99.94998749
Adult Female,9500,Liver,photon,10.0,3000,Femora_upper_medullary cavity,39.516336991600205,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,3100,Femora_lower_cortical,240.9294144816944,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,3200,Femora_lower_spongiosa,166.3336944750592,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,3300,Femora_lower_medullary cavity,56.7621266305122,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,3400,Tibiae_fibulae_and patellae_cortical,544.845224822808,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,3500,Tibiae_fibulae_and patellae_spongiosa,558.5291489631381,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,3600,Tibiae_fibulae_and patellae_medullary cavity,88.88342749903799,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,3700,Ankles and foot_cortical,173.475747018728,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,3800,Ankles and foot_spongiosa,257.4510646482572,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,3900,Mandible_cortical,45.3940998746592,2.368542945e-16,0.00014783282284467519,0.9994998749,99.94998749
Adult Female,9500,Liver,photon,10.0,4000,Mandible_spongiosa,33.4787570567117,7.081884633e-18,4.420164720115372e-06,0.9994998749,99.94998749
Adult Female,9500,Liver,photon,10.0,4100,Pelvis_cortical,262.4548684390416,1.744120516e-15,0.0010885944027567186,0.9203499256,92.03499255999999
Adult Female,9500,Liver,photon,10.0,4200,Pelvis_spongiosa,455.598582299263,5.766664874999999e-16,0.0003599269114668663,0.9910327512,99.10327512
Adult Female,9500,Liver,photon,10.0,4300,Ribs_cortical,164.4974276963248,1.200102039e-14,0.0074904477666973635,0.2431886631,24.31886631
Adult Female,9500,Liver,photon,10.0,4400,Ribs_spongiosa,277.3248898476527,1.6583503230000002e-14,0.010350608589639437,0.2244238006,22.44238006
Adult Female,9500,Liver,photon,10.0,4500,Scapulae_cortical,121.6643960914704,9.530745550000001e-15,0.0059486234836701535,0.5837902075,58.37902075
Adult Female,9500,Liver,photon,10.0,4600,Scapulae_spongiosa,96.73013880382501,9.554825555e-15,0.005963653040642209,0.6728205351,67.28205351
Adult Female,9500,Liver,photon,10.0,4700,Cervical spine_cortical,71.59649605583999,1.471435509e-17,9.18397808190729e-06,0.8549583046,85.49583046
