Phantom,Source Organ ID,Source Organ Name,Source Type,Source Energy (MeV),Target Organ ID,Target Organ Name,Target Organ Mass (g),Dose (Gy/source),SAF (kg^-1),Relative Error,Statistical Uncertainty (%)
Adult Male,9500,Liver,photon,10.0,2700,Cranium_spongiosa,382.072926331038,6.7536e-16,0.0004215265568528083,0.2902,29.020000000000003
Adult Male,9500,Liver,photon,10.0,2800,Femora_upper_cortical,253.54758457984477,2.0533e-16,0.00012815690582591082,0.5392,53.92
Adult Male,9500,Liver,photon,10.0,2900,Femora_upper_spongiosa,413.23229223795,1.1796e-16,7.362484104234375e-05,0.7009,70.09
Adult Male,9500,Liver,photon,10.0,3000,Femora_upper_medullary cavity,26.0453504720556,2.6207e-15,0.0016357122831440341,1.0,100.0
Adult Male,9500,Liver,photon,10.0,3100,Femora_lower_cortical,307.76097346363036,4.2181e-17,2.6327309426984585e-05,0.9997,99.97
Adult Male,9500,Liver,photon,10.0,3200,Femora_lower_spongiosa,373.65195452952497,1.5105e-16,9.42779945697357e-05,0.9826,98.26
Adult Male,9500,Liver,photon,10.0,3300,Femora_lower_medullary cavity,82.1788824563496,2.6879e-18,1.677655224124413e-06,1.0,100.0
Adult Male,9500,Liver,photon,10.0,3400,Tibiae_fibulae_and patellae_cortical,536.6511904030032,4.467e-19,2.7880821035617964e-07,1.0,100.0
Adult Male,9500,Liver,photon,10.0,3500,Tibiae_fibulae_and patellae_spongiosa,621.4076462600432,3.8611e-17,2.4099090687401952e-05,0.957,95.7
Adult Male,9500,Liver,photon,10.0,3600,Tibiae_fibulae_and patellae_medullary cavity,79.8149379747906,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,photon,10.0,3700,Ankles and foot_cortical,234.88234278038877,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,photon,10.0,3800,Ankles and foot_spongiosa,432.61504238399,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,photon,10.0,3900,Mandible_cortical,76.87705057623359,5.6118e-16,0.0003502610062406109,0.8902,89.02
Adult Male,9500,Liver,photon,10.0,4000,Mandible_spongiosa,56.287316552493095,6.5671e-17,4.098861424289383e-05,0.7365,73.65
Adult Male,9500,Liver,photon,10.0,4100,Pelvis_cortical,402.5946743318192,1.3491e-15,0.0008420419892355539,0.2665,26.650000000000002
Adult Male,9500,Liver,photon,10.0,4200,Pelvis_spongiosa,619.671575527846,1.9414e-15,0.001211726571715888,0.2548,25.480000000000004
Adult Male,9500,Liver,photon,10.0,4300,Ribs_cortical,368.79699288447677,1.0466e-14,0.006532363397331041,0.0718,7.180000000000001
Adult Male,9500,Liver,photon,10.0,4400,Ribs_spongiosa,457.351194317472,1.0795e-14,0.006737709045880813,0.0837,8.37
Adult Male,9500,Liver,photon,10.0,4500,Scapulae_cortical,223.3331223438448,2.0447e-15,0.0012762013604550716,0.2423,24.23
Adult Male,9500,Liver,photon,10.0,4600,Scapulae_spongiosa,156.67025675645783,3.9346e-15,0.0024557841604374844,0.3384,33.839999999999996
Adult Male,9500,Liver,photon,10.0,4700,Cervical spine_cortical,103.94340658852639,1.0332e-15,0.0006448727175733261,0.4675,46.75
Adult Male,9500,Liver,photon,10.0,4800,Cervical spine_spongiosa,78.91527127699649,1.9123e-15,0.001193563780309206,0.4947,49.47
Adult Male,9500,Liver,photon,10.0,4900,Thoracic spine_cortical,289.44012909388636,7.9299e-15,0.0049494542809569485,0.1116,11.16
Adult Male,9500,Liver,photon,10.0,5000,Thoracic spine_spongiosa,345.22177328276103,9.2102e-15,0.005748554687760209,0.1311,13.11
Adult Male,9500,Liver,photon,10.0,5100,Lumbar spine_cortical,188.0474514135168,4.677e-15,0.0029191537941254805,0.1841,18.41
Adult Male,9500,Liver,photon,10.0,5200,Lumbar spine_spongiosa,291.5843646006448,5.0879e-15,0.003175617401995089,0.2146,21.46
Adult Male,9500,Liver,photon,10.0,5300,Sacrum_cortical,110.3202882637184,1.7269e-15,0.0010778462020686961,0.4114,41.14
Adult Male,9500,Liver,photon,10.0,5400,Sacrum_spongiosa,192.22399895868529,2.0865e-15,0.0013022908683863192,0.4757,47.57
Adult Male,9500,Liver,photon,10.0,5500,Sternum_cortical,9.99052342484,8.4832e-15,0.005294796978046884,0.2873,28.73
Adult Male,9500,Liver,photon,10.0,5600,Sternum_spongiosa,61.4200837170186,1.0323e-14,0.006443109817566246,0.3319,33.19
Adult Male,9500,Liver,photon,10.0,5700,Cartilage_costal,56.3314637893434,1.1999e-14,0.007489186738445936,0.1891,18.91
Adult Male,9500,Liver,photon,10.0,5800,Cartilage_discs,82.0629794582262,8.5667e-15,0.0053469135788186345,0.2135,21.349999999999998
Adult Male,9500,Liver,photon,10.0,6100,Brain,1517.389677890517,6.4612e-16,0.00040327638431908393,0.3368,33.68
Adult Male,9500,Liver,photon,10.0,6200,Breast_left_adipose tissue,7.7690252574697,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,photon,10.0,6300,Breast_left_glandular tissue,5.1801340681112995,7.6458e-15,0.004772133008151507,0.9986,99.86
Adult Male,9500,Liver,photon,10.0,6400,Breast_right_adipose tissue,7.769029192597299,4.9897e-15,0.003114325782883881,0.8547,85.47
Adult Male,9500,Liver,photon,10.0,6500,Breast_right_glandular tissue,5.1801364431615,1.05e-15,0.0006553584528184209,1.0,100.0
Adult Male,9500,Liver,photon,10.0,6600,Eye lens_sensitive_left,0.038889488078,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,photon,10.0,6601,Eye lens_insensitive_left,0.189270568824,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,photon,10.0,6700,Cornea_left,1.1132850686100002,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,photon,10.0,6701,Aqueous_left,0.30757160465499994,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,photon,10.0,6702,Vitreous_left,6.121993940095599,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,photon,10.0,6800, Eye lens_sensitive_right,0.03888931392,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,photon,10.0,6801,Eye lens_insensitive_right,0.18927065245799998,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,photon,10.0,6900,Cornea_right,1.11328169546,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,photon,10.0,6901,Aqueous_right,0.3075715920475,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,photon,10.0,6902,Vitreous_right,6.1219952201852,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,photon,10.0,7000,Gallbladder wall,10.363612759847,5.5248e-14,0.03448308933458297,0.1946,19.46
Adult Male,9500,Liver,photon,10.0,7100,Gallbladder contents,57.999999325813,4.0538e-14,0.025301829486050614,0.1638,16.38
Adult Male,9500,Liver,photon,10.0,7200,Stomach wall_0~60 um,1.7837383883823,2.4069e-14,0.015022688191320546,0.2129,21.29
Adult Male,9500,Liver,photon,10.0,7201,Stomach wall_60~100 um,1.1928211312201,2.3794e-14,0.014851046691772864,0.208,20.8
Adult Male,9500,Liver,photon,10.0,7202,Stomach wall_100~300 um,6.0080173574287,2.1027e-14,0.013124021130869464,0.1776,17.76
Adult Male,9500,Liver,photon,10.0,7203,Stomach wall_300 um~surface,185.286098491145,2.3006e-14,0.014359215776705325,0.1144,11.44
Adult Male,9500,Liver,photon,10.0,7300,Stomach contents,249.999986524184,1.7339e-14,0.01082215258420819,0.1329,13.29
Adult Male,9500,Liver,photon,10.0,7400,Small intestine wall_0~130 um,14.547479039272899,4.3609e-15,0.0027218596922817637,0.1892,18.92
Adult Male,9500,Liver,photon,10.0,7401,Small intestine wall_130~150 um,2.2644420346114,5.5169e-15,0.0034433781412894727,0.3153,31.53
Adult Male,9500,Liver,photon,10.0,7402,Small intestine wall_150~200 um,5.691843593203999,4.8691e-15,0.0030390531834458795,0.2422,24.22
Adult Male,9500,Liver,photon,10.0,7403,Small intestine wall_200 um~surface,840.0963485350355,5.6242e-15,0.003510349533658441,0.1005,10.05
Adult Male,9500,Liver,photon,10.0,7500,Small intestine contents_-500~0 um,53.33739729292,5.0133e-15,0.003129055744299609,0.1856,18.56
Adult Male,9500,Liver,photon,10.0,7501,Small intestine contents_centre~500 um,296.66260810888,4.9958e-15,0.0031181331034193017,0.1717,17.169999999999998
Adult Male,9500,Liver,photon,10.0,7600,Ascending colon wall_0~280 um,3.0714502217129,7.8181e-15,0.0048796742095044724,0.4306,43.059999999999995
Adult Male,9500,Liver,photon,10.0,7601,Ascending colon wall_280~300 um,0.2233495663671,7.4557e-15,0.0046534819206460005,0.5124,51.239999999999995
Adult Male,9500,Liver,photon,10.0,7602,Ascending colon wall_300 um~surface,116.6341777582855,8.283e-15,0.0051698419663761715,0.2606,26.06
Adult Male,9500,Liver,photon,10.0,7700,Ascending colon contents,55.000000637088,5.8619e-15,0.0036587102043583826,0.3807,38.07
Adult Male,9500,Liver,photon,10.0,7800,Transverse colon wall_right_0~280 um,3.9926975410255996,2.1172e-14,0.01321452301244915,0.1775,17.75
Adult Male,9500,Liver,photon,10.0,7801,Transverse colon wall_right_280~300 um,0.28861134506159997,2.1171e-14,0.013213898861541704,0.2062,20.62
Adult Male,9500,Liver,photon,10.0,7802,Transverse colon wall_right_300 um~surface,75.6713489706476,2.4864e-14,0.015518888162740207,0.1415,14.149999999999999
Adult Male,9500,Liver,photon,10.0,7900,Transverse colon contents_right,95.000002169592,2.9251e-14,0.018257038193706315,0.169,16.900000000000002
Adult Male,9500,Liver,photon,10.0,8000,Transverse colon wall_left_0~280 um,2.8236702141742,1.0343e-14,0.0064555928357151685,0.3264,32.64
Adult Male,9500,Liver,photon,10.0,8001,Transverse colon wall_left_280~300 um,0.20497231901709997,9.1255e-15,0.005695689105899524,0.3296,32.96
Adult Male,9500,Liver,photon,10.0,8002,Transverse colon wall_left_300 um~surface,76.92402449694919,8.9431e-15,0.005581843980381352,0.2366,23.66
Adult Male,9500,Liver,photon,10.0,8100,Transverse colon contents_left,39.999992907160006,8.2628e-15,0.00515723411804576,0.325,32.5
Adult Male,9500,Liver,photon,10.0,8200,Descending colon wall_0~280 um,2.7794343898889,1.0792e-15,0.0006735836593158475,0.7592,75.92
Adult Male,9500,Liver,photon,10.0,8201,Descending colon wall_280~300 um,0.2033227535767,1.1703e-15,0.0007304438069841885,0.7777,77.77
Adult Male,9500,Liver,photon,10.0,8202,Descending colon wall_300 um~surface,116.94622050877759,2.2575e-15,0.001409020673559605,0.3777,37.769999999999996
Adult Male,9500,Liver,photon,10.0,8300,Descending colon contents,35.000009177224,1.8798e-15,0.0011732788758172072,0.6226,62.260000000000005
Adult Male,9500,Liver,photon,10.0,8400,Sigmoid colon wall_0~280 um,4.45094235654,1.8412e-16,0.00011491866507897872,0.9479,94.78999999999999
Adult Male,9500,Liver,photon,10.0,8401,Sigmoid colon wall_280~300 um,0.3235627550783,1.7021e-16,0.00010623672595640327,1.0,100.0
Adult Male,9500,Liver,photon,10.0,8402,Sigmoid colon wall_300 um~surface,48.514513234441196,1.0952e-15,0.0006835700738349853,0.6445,64.45
Adult Male,9500,Liver,photon,10.0,8500,Sigmoid colon contents,74.999995449392,6.0211e-16,0.0003758075028823804,0.9052,90.52
Adult Male,9500,Liver,photon,10.0,8600,Rectum wall,39.9763266181388,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,photon,10.0,8700,Heart wall,385.83881449935967,1.4451e-14,0.009019604763503811,0.1024,10.24
Adult Male,9500,Liver,photon,10.0,8800,Blood in heart chamber,510.00000952219403,1.3578e-14,0.00847472102130335,0.1159,11.59
Adult Male,9500,Liver,photon,10.0,8900,Kidney_left_cortex,162.3384466140762,5.755e-15,0.0035919884723523924,0.2418,24.18
Adult Male,9500,Liver,photon,10.0,9000,Kidney_left_medulla,38.3592819188826,2.8035e-15,0.0017498070690251837,0.5153,51.53
Adult Male,9500,Liver,photon,10.0,9100,Kidney_left_pelvis,7.651796291895599,1.3037e-14,0.008137055380375003,0.6961,69.61
Adult Male,9500,Liver,photon,10.0,9200,Kidney_right_cortex,166.54194565314927,2.049e-14,0.0127888520935709,0.1431,14.31
Adult Male,9500,Liver,photon,10.0,9300,Kidney_right_medulla,39.36213815849639,1.8422e-14,0.011498108016972335,0.268,26.8
Adult Male,9500,Liver,photon,10.0,9400,Kidney_right_pelvis,7.892486789253299,9.6171e-15,0.006002521692000034,0.6155,61.550000000000004
Adult Male,9500,Liver,photon,10.0,9500,Liver,2360.0000048976,4.562e-14,0.028473764397691774,0.0313,3.1300000000000003
Adult Male,9500,Liver,photon,10.0,9700,Lung (AI)_left,545.8768933536566,5.0295e-15,0.0031391669890002364,0.1485,14.85
Adult Male,9500,Liver,photon,10.0,9900,Lung (AI)_right,652.861449557889,1.5517e-14,0.009684949630841369,0.0873,8.73
Adult Male,9500,Liver,photon,10.0,10000,Lymphatic nodes_ET,15.9491859978336,8.4667e-16,0.0005284498488074024,1.0,100.0
Adult Male,9500,Liver,photon,10.0,10100,Lymphatic nodes_thoracic,15.949205446699201,1.2526e-14,0.00781811426667004,0.3193,31.929999999999996
Adult Male,9500,Liver,photon,10.0,10200,Lymphatic nodes_head,5.5097251938576,7.4497e-16,0.0004649737015201324,0.8773,87.72999999999999
Adult Male,9500,Liver,photon,10.0,10300,Lymphatic nodes_trunk,130.20352238279762,3.1118e-15,0.0019422327937908212,0.2448,24.48
Adult Male,9500,Liver,photon,10.0,10400,Lymphatic nodes_arms,11.0194524245736,9.1299e-15,0.005698435369892287,0.4495,44.95
Adult Male,9500,Liver,photon,10.0,10500,Lymphatic nodes_legs,11.019453548111999,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,photon,10.0,10600,Muscle_head,1200.8220403903501,1.1881e-15,0.0007415536931367294,0.2516,25.16
Adult Male,9500,Liver,photon,10.0,10700,Muscle_trunk,14841.46933433199,3.4471e-15,0.0021515105930575034,0.0386,3.8600000000000003
Adult Male,9500,Liver,photon,10.0,10800,Muscle_arms,2843.4306164274153,2.6339e-15,0.0016439510751223227,0.1037,10.37
Adult Male,9500,Liver,photon,10.0,10900,Muscle_legs,10890.898799507057,1.6965e-16,0.00010588720144823344,0.244,24.4
Adult Male,9500,Liver,photon,10.0,11000,Oesophagus wall_0~190 um,1.9193930012387,3.7607e-15,0.002347244317632605,0.4015,40.150000000000006
Adult Male,9500,Liver,photon,10.0,11001,Oesophagus wall_190~200 um,0.10307141705759999,3.7864e-15,0.0023632849959539706,0.4048,40.48
Adult Male,9500,Liver,photon,10.0,11002,Oesophagus wall_200 um~surface,49.78305164127259,7.4029e-15,0.004620526752732846,0.3013,30.130000000000003
Adult Male,9500,Liver,photon,10.0,11003,Oesophagus contents,22.869997657103998,1.0638e-14,0.006639717353411773,0.3979,39.79
Adult Male,9500,Liver,photon,10.0,11300,Pancreas,173.6312955899076,2.0164e-14,0.012585378897743466,0.151,15.1
Adult Male,9500,Liver,photon,10.0,11400,Pituitary gland,0.6218196488647999,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,photon,10.0,11500,Prostate,17.6181441863475,9.6542e-18,6.025677690666285e-06,1.0,100.0
Adult Male,9500,Liver,photon,10.0,11600,RST_head,975.6228575319597,6.2402e-16,0.0003894826492645248,0.2492,24.92
Adult Male,9500,Liver,photon,10.0,11700,RST_trunk,11176.899806392705,5.604e-15,0.0034977416853280295,0.03,3.0
Adult Male,9500,Liver,photon,10.0,11800,RST_arms,1549.8418807835817,2.6845e-15,0.0016755331110390962,0.1117,11.17
Adult Male,9500,Liver,photon,10.0,11900,RST_legs,4510.137865147503,1.4818e-16,9.248668146536535e-05,0.3113,31.130000000000003
Adult Male,9500,Liver,photon,10.0,12000,Salivary glands_left,44.04535868806389,1.1543e-15,0.0007204573924650508,0.9224,92.24
Adult Male,9500,Liver,photon,10.0,12100,Salivary glands_right,44.045362366878095,3.2295e-15,0.002015695355597229,0.5959,59.589999999999996
Adult Male,9500,Liver,photon,10.0,12200,Skin_head_insensitive,259.2303086462463,6.8852e-16,0.0004297403827947992,0.2692,26.919999999999998
Adult Male,9500,Liver,photon,10.0,12201,Skin_head_sensitive_50~100 um,8.4700015308315,5.6288e-16,0.0003513220627832693,0.2888,28.88
Adult Male,9500,Liver,photon,10.0,12300,Skin_trunk_insensitive,1271.1442995947916,3.8951e-15,0.0024311301995933628,0.0507,5.07
Adult Male,9500,Liver,photon,10.0,12301,Skin_trunk_sensitive_50~100 um,38.4178622540229,3.8449e-15,0.002399797824039568,0.0674,6.74
Adult Male,9500,Liver,photon,10.0,12400,Skin_arms_insensitive,575.7079454801828,2.0093e-15,0.0012541064183314793,0.1222,12.22
Adult Male,9500,Liver,photon,10.0,12401,Skin_arms_sensitive_50~100 um,18.8430205182516,2.1301e-15,0.00132950384795097,0.165,16.5
Adult Male,9500,Liver,photon,10.0,12500,Skin_legs_insensitive,1259.9653957292753,3.2487e-16,0.00020276790530201943,0.2755,27.55
Adult Male,9500,Liver,photon,10.0,12501,Skin_legs_sensitive_50~100 um,37.7898459967809,1.4742e-16,9.20123267757063e-05,0.3062,30.620000000000005
Adult Male,9500,Liver,photon,10.0,12600,Spinal cord,37.951723316125,8.9849e-15,0.0056079334883126,0.3181,31.81
Adult Male,9500,Liver,photon,10.0,12700,Spleen,228.399995069508,6.2989e-15,0.003931464150912335,0.2596,25.96
Adult Male,9500,Liver,photon,10.0,12800,Teeth,50.726620875840005,2.7689e-17,1.7282114476275483e-05,0.9484,94.84
Adult Male,9500,Liver,photon,10.0,12801,Teeth_retention region,0.043137991728,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,photon,10.0,12900,Testis_left,18.6167532173229,3.8095e-15,0.0023777028819159758,1.0,100.0
Adult Male,9500,Liver,photon,10.0,13000,Testis_right,18.616749836779498,4.6964e-15,0.0029312623217299352,0.915,91.5
Adult Male,9500,Liver,photon,10.0,13100,Thymus,25.909028548764397,8.2849e-15,0.0051710278531003195,0.6419,64.19
