[ T-Deposit ]
    title = [t-deposit] in region mesh
     mesh =  reg            # mesh type is region-wise
      reg = all
   volume                   # combined, lattice or level structure 
   non     reg      vol     # reg definition
# kf/name :  0        
   mother =  all            # (D=all) number of specific mother
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :          99 (  0)           0 (  0)          99 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1

x: Serial Num. of Region
y: Dose [Gy/source]      
p: xlin ylog afac(0.8) form(0.9)
h:   x      n     n          y(all     ),l3 n   
#  num    reg     volume       all       r.err 
    1       1   1.0000E+00   0.0000E+00  0.0000
    2       3   1.0000E+00   0.0000E+00  0.0000
    3       4   1.0000E+00   0.0000E+00  0.0000
    4     100   6.5860E+00   4.5952E-14  0.3476
    5     200   8.3561E+00   5.3825E-14  0.3602
    6     300   8.3071E-03   0.0000E+00  0.0000
    7     301   3.3512E-02   0.0000E+00  0.0000
    8     302   1.0566E-02   0.0000E+00  0.0000
    9     303   4.2430E+00   0.0000E+00  0.0000
   10     400   1.0416E-01   0.0000E+00  0.0000
   11     401   2.7920E-01   0.0000E+00  0.0000
   12     402   7.0133E-02   0.0000E+00  0.0000
   13     403   3.5142E-02   0.0000E+00  0.0000
   14     404   7.0301E-02   0.0000E+00  0.0000
   15     405   1.3754E+01   2.1223E-16  0.7302
   16     500   6.2995E-02   0.0000E+00  0.0000
   17     501   1.5350E-02   0.0000E+00  0.0000
   18     600   1.7928E-02   0.0000E+00  0.0000
   19     700   7.9545E+00   1.0079E-15  0.5401
   20     800   1.0234E-02   0.0000E+00  0.0000
   21     801   1.2254E-02   0.0000E+00  0.0000
   22     802   2.0469E-02   0.0000E+00  0.0000
   23     803   5.1434E-02   0.0000E+00  0.0000
   24     804   1.0331E-02   0.0000E+00  0.0000
   25     805   2.0706E-02   0.0000E+00  0.0000
   26     806   2.0766E-02   0.0000E+00  0.0000
   27     807   2.0824E-02   0.0000E+00  0.0000
   28     808   1.1436E+00   7.9092E-16  1.0000
   29     900   1.8011E+00   4.5946E-15  1.0000
   30     910   2.8370E+00   8.9652E-15  0.8969
   31    1000   1.1120E+02   8.6979E-15  0.1781
   32    1010   2.2625E+02   4.1347E-15  0.1823
   33    1100   4.3693E+01   3.7535E-15  0.3119
   34    1110   1.3160E+02   5.5203E-15  0.1988
   35    1200   7.5384E+01   9.3827E-16  0.8782
   36    1210   3.3550E+02   2.2700E-16  0.7482
   37    1300   5.9705E+01   1.8722E-15  0.3872
   38    1400   9.0901E+01   1.5429E-15  0.4418
   39    1500   2.0914E+01   1.2232E-15  0.7343
   40    1600   5.4254E+01   6.4812E-15  0.2489
   41    1700   4.4999E+01   4.5706E-15  0.4206
   42    1800   2.0890E+01   6.7041E-15  0.5013
   43    1900   8.2305E+01   1.9603E-15  0.3212
   44    2000   7.7782E+01   3.0045E-15  0.4902
   45    2100   3.4728E+01   2.6309E-15  0.5349
   46    2200   5.5216E+01   1.4759E-15  0.4832
   47    2300   6.2095E+01   2.3887E-15  0.5400
   48    2400   1.7240E+01   2.7434E-15  0.4836
   49    2500   3.2549E+01   3.5077E-15  0.5894
   50    2600   2.1411E+02   5.3207E-16  0.4194
   51    2700   3.1255E+02   1.1405E-15  0.4279
   52    2800   1.2822E+02   3.4503E-16  0.6120
   53    2900   2.2257E+02   7.5198E-16  0.6995
   54    3000   4.0282E+01   1.7297E-15  0.9992
   55    3100   1.2654E+02   4.7173E-17  0.8538
   56    3200   1.4891E+02   1.1228E-16  1.0000
   57    3300   5.7861E+01   4.2979E-17  0.7516
   58    3400   2.8616E+02   1.1269E-16  0.7085
   59    3500   5.0003E+02   2.0960E-17  1.0000
   60    3600   9.0605E+01   1.0239E-15  1.0000
   61    3700   9.1111E+01   6.3615E-17  1.0000
   62    3800   2.3048E+02   4.3060E-17  1.0000
   63    3900   2.3841E+01   3.2589E-15  0.6795
   64    4000   2.8157E+01   1.6641E-15  0.9297
   65    4100   1.3784E+02   1.2711E-15  0.2670
   66    4200   4.1231E+02   1.6595E-15  0.2870
   67    4300   8.6396E+01   1.2183E-14  0.0809
   68    4400   2.5513E+02   1.1795E-14  0.0893
   69    4500   6.3899E+01   3.5090E-15  0.2544
   70    4600   8.5982E+01   3.1495E-15  0.3569
   71    4700   3.7603E+01   1.6728E-15  0.4077
   72    4800   6.6963E+01   2.3552E-15  0.5641
   73    4900   1.0810E+02   1.2543E-14  0.1134
   74    5000   2.5177E+02   1.3964E-14  0.1237
   75    5100   8.2025E+01   1.3178E-14  0.1174
   76    5200   2.2745E+02   1.4010E-14  0.1357
   77    5300   4.2143E+01   3.4072E-15  0.3295
   78    5400   1.4719E+02   3.3632E-15  0.4019
   79    5500   8.8513E-01   6.5373E-15  0.2642
   80    5600   4.7854E+01   7.6808E-15  0.3142
   81    5700   3.8179E+01   2.4597E-14  0.1569
   82    5800   6.3103E+01   1.6700E-14  0.1689
   83    6100   1.2964E+03   4.5660E-16  0.3796
   84    6200   1.6141E+02   4.9545E-15  0.2508
   85    6300   1.0038E+02   5.0262E-15  0.3646
   86    6400   1.6141E+02   9.0855E-15  0.1979
   87    6500   1.0038E+02   1.1429E-14  0.2607
   88    6600   3.6688E-02   0.0000E+00  0.0000
   89    6601   1.7856E-01   0.0000E+00  0.0000
   90    6700   1.0121E+00   0.0000E+00  0.0000
   91    6701   3.0007E-01   0.0000E+00  0.0000
   92    6702   5.9379E+00   4.4910E-16  1.0000
   93    6800   3.6688E-02   0.0000E+00  0.0000
   94    6801   1.7856E-01   0.0000E+00  0.0000
   95    6900   1.0121E+00   5.4619E-16  1.0000
   96    6901   3.0007E-01   0.0000E+00  0.0000
   97    6902   5.9379E+00   0.0000E+00  0.0000
   98    7000   7.9545E+00   3.9893E-14  0.1880
   99    7100   4.6602E+01   5.0751E-14  0.1786
  100    7200   1.5067E+00   1.9456E-14  0.2060
  101    7201   1.0075E+00   1.8539E-14  0.2278
  102    7202   5.0735E+00   1.9974E-14  0.1882
  103    7203   1.5928E+02   1.8625E-14  0.1226
  104    7300   2.2115E+02   2.0083E-14  0.1378
  105    7400   1.1912E+01   6.6964E-15  0.1858
  106    7401   1.8549E+00   5.5266E-15  0.1777
  107    7402   4.6631E+00   6.2780E-15  0.1863
  108    7403   7.1106E+02   6.4781E-15  0.1106
  109    7500   4.3487E+01   7.3780E-15  0.1800
  110    7501   2.2574E+02   5.9216E-15  0.1671
  111    7600   4.2962E+00   6.6182E-15  0.4282
  112    7601   3.1071E-01   5.0298E-15  0.4433
  113    7602   1.0404E+02   6.1262E-15  0.2886
  114    7700   9.6161E+01   4.6241E-15  0.3829
  115    7800   3.5523E+00   4.5888E-15  0.4113
  116    7801   2.5706E-01   1.0760E-14  0.6681
  117    7802   6.2594E+01   7.9828E-15  0.3540
  118    7900   5.7687E+01   1.1540E-14  0.3206
  119    8000   2.1197E+00   0.0000E+00  0.0000
  120    8001   1.5444E-01   0.0000E+00  0.0000
  121    8002   6.4120E+01   4.0305E-15  0.3934
  122    8100   2.8851E+01   1.7767E-15  0.9131
  123    8200   2.9158E+00   1.9203E-15  0.5922
  124    8201   2.1191E-01   1.8333E-15  0.5913
  125    8202   1.0552E+02   2.4597E-15  0.4369
  126    8300   4.8080E+01   2.0658E-15  0.7296
  127    8400   4.0753E+00   1.6625E-15  0.9168
  128    8401   2.9530E-01   2.2584E-15  1.0000
  129    8402   4.9962E+01   3.5071E-16  0.6769
  130    8500   7.6916E+01   3.9944E-16  0.9045
  131    8600   3.0181E+01   2.3173E-16  1.0000
  132    8700   2.7677E+02   1.3187E-14  0.1263
  133    8800   3.4906E+02   1.4939E-14  0.1342
  134    8900   1.4172E+02   1.0804E-14  0.1972
  135    9000   3.5590E+01   1.4586E-14  0.2964
  136    9100   7.1238E+00   1.9450E-14  0.5263
  137    9200   1.1896E+02   3.0735E-14  0.1394
  138    9300   2.9886E+01   2.0745E-14  0.2579
  139    9400   5.9810E+00   1.3527E-14  0.6090
  140    9500   1.7075E+03   5.0966E-14  0.0338
  141    9700   1.0345E+03   7.4263E-15  0.1356
  142    9900   1.2652E+03   1.4701E-14  0.0971
  143   10000   1.2302E+01   1.2859E-15  1.0000
  144   10100   1.2302E+01   1.3238E-14  0.3164
  145   10200   4.2497E+00   1.4164E-15  1.0000
  146   10300   1.0043E+02   3.8903E-15  0.2450
  147   10400   8.4995E+00   6.6405E-15  0.5644
  148   10500   8.4994E+00   0.0000E+00  0.0000
  149   10600   4.2383E+02   1.3303E-15  0.3505
  150   10700   7.9284E+03   4.0342E-15  0.0454
  151   10800   1.4094E+03   3.6419E-15  0.1195
  152   10900   7.3112E+03   2.8819E-16  0.2156
  153   11000   1.8060E+00   1.2354E-14  0.2973
  154   11001   9.7121E-02   1.1425E-14  0.2952
  155   11002   3.9813E+01   1.4572E-14  0.2622
  156   11003   2.0423E+01   1.5698E-14  0.3021
  157   11100   6.0117E+00   0.0000E+00  0.0000
  158   11200   6.0117E+00   6.5533E-17  1.0000
  159   11300   1.3859E+02   2.5601E-14  0.1417
  160   11400   5.9659E-01   0.0000E+00  0.0000
  161   11600   8.9275E+02   8.5199E-16  0.2547
  162   11700   1.2171E+04   5.4713E-15  0.0311
  163   11800   2.2955E+03   3.8134E-15  0.0920
  164   11900   8.2410E+03   2.3701E-16  0.2147
  165   12000   3.4801E+01   0.0000E+00  0.0000
  166   12100   3.4801E+01   2.5742E-15  0.7959
  167   12200   1.4300E+02   1.1551E-15  0.3437
  168   12201   5.8129E+00   1.6608E-15  0.4583
  169   12300   8.0106E+02   4.2458E-15  0.0580
  170   12301   2.9750E+01   3.9380E-15  0.0646
  171   12400   3.5015E+02   2.3454E-15  0.1195
  172   12401   1.4338E+01   2.7361E-15  0.1717
  173   12500   8.4983E+02   1.7437E-16  0.3358
  174   12501   3.2192E+01   8.7132E-17  0.4025
  175   12600   1.8524E+01   1.0847E-14  0.3564
  176   12700   1.7679E+02   1.4215E-14  0.1889
  177   12800   1.5079E+01   0.0000E+00  0.0000
  178   12801   3.4700E-02   0.0000E+00  0.0000
  179   13100   1.9886E+01   6.8481E-15  0.5207
  180   13200   1.8511E+01   4.9143E-15  0.6700
  181   13300   1.9995E+01   0.0000E+00  0.0000
  182   13301   3.8491E+01   3.0618E-17  0.6938
  183   13400   2.9829E+00   0.0000E+00  0.0000
  184   13500   7.4574E+00   5.9141E-15  0.6602
  185   13600   7.4574E+00   2.6600E-15  1.0000
  186   13700   3.7941E+01   1.2676E-15  0.5472
  187   13701   1.2937E+00   9.5679E-16  0.7159
  188   13800   1.9231E+02   6.5953E-16  0.6749
  189   13900   8.0307E+01   8.9860E-16  0.6441
  190   14000   3.6006E+01   0.0000E+00  0.0000

#   sum over    5.9276E+04   5.2013E-15  0.0187

'no. =  1'
msuc: {\huge [t-deposit] in region mesh}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.36}
 
# Information for Restart Calculation
# This calculation was newly started
# istdev =  2 # 1:Batch variance, 2:History variance
# resc2  = 1.00000000000000000E+04 # Total source weight or Total source weight / maxcas
# resc3  = 1.00000000000000000E+04 # Total history number or Total batch number
# maxcas =        1000 # History / Batch, only used for istdev=1
# bitrseed = 0111011010010100011001101100101001110100011011011011110011011010 # bit data of rseed
