
=====================================================================
 Run #0 / Number of event processed : 10000
=====================================================================
organ ID|      Organ Mass (g)   Dose (Gy/source)     Relative Error
   11700|           11176.900          9.777e-15              0.019
   11800|            1549.842          9.354e-16              0.150
   11900|            4510.134          2.736e-18              0.963
   12000|              44.045          0.000e+00               -nan
   12100|              44.045          1.104e-18              1.000
   12200|             259.230          1.118e-18              1.000
   12201|               8.470          0.000e+00               -nan
   12300|            1271.006          3.776e-15              0.047
   12301|              38.418          3.783e-15              0.091
   12400|             575.709          1.408e-15              0.148
   12401|              18.843          1.667e-15              0.251
   12500|            1259.982          2.157e-19              1.000
   12501|              37.790          0.000e+00               -nan
   12600|              37.952          2.895e-15              0.427
   12700|             228.400          6.606e-16              0.424
   12800|              50.727          2.782e-17              0.711
   12801|               0.043          0.000e+00               -nan
   12900|              18.617          0.000e+00               -nan
   13000|              18.617          0.000e+00               -nan
   13100|              25.909          2.136e-16              0.789
   13200|              23.351          1.697e-17              0.761
   13300|              20.993          0.000e+00               -nan
   13301|              54.552          0.000e+00               -nan
   13400|               3.109          0.000e+00               -nan
   13500|               8.809          7.967e-18              1.000
   13600|               7.773          1.833e-16              0.636
   13700|              49.781          7.535e-17              0.805
   13701|               1.318          0.000e+00               -nan
   13800|             200.000          2.176e-16              0.784
   14000|               0.140          2.242e-16              1.000
=====================================================================

