,Organ ID: 1400,Humeri_upper_spongiosa
0.01,6.16E-16,5.03E-16
0.015,2.60E-16,2.31E-16
0.02,1.40E-16,1.39E-16
0.03,6.16E-17,7.68E-17
0.04,3.84E-17,5.65E-17
0.05,3.07E-17,4.84E-17
0.06,2.89E-17,4.51E-17
0.08,3.28E-17,4.51E-17
0.1,4.08E-17,4.87E-17
0.15,6.63E-17,6.80E-17
0.2,9.48E-17,9.48E-17
0.3,1.51E-16,1.51E-16
0.4,2.07E-16,2.07E-16
0.5,2.60E-16,2.60E-16
0.6,3.11E-16,3.11E-16
0.8,4.04E-16,4.04E-16
1,4.90E-16,4.90E-16
1.5,6.72E-16,6.72E-16
2,8.25E-16,8.25E-16
3,1.09E-15,1.09E-15
4,1.32E-15,1.32E-15
5,1.54E-15,1.54E-15
6,1.75E-15,1.75E-15
8,2.17E-15,2.17E-15
10,2.60E-15,2.60E-15
,Organ ID: 3000,Femora_upper_medullary cavity
Photon Energy (MeV),AM,TM50
0.01,NA,3.74E-16
0.015,NA,1.53E-16
0.02,NA,7.97E-17
0.03,NA,3.21E-17
0.04,NA,1.93E-17
0.05,NA,1.66E-17
0.06,NA,1.73E-17
0.08,NA,2.29E-17
0.1,NA,3.11E-17
0.15,NA,6.13E-17
0.2,NA,9.48E-17
0.3,NA,1.53E-16
0.4,NA,2.10E-16
0.5,NA,2.65E-16
0.6,NA,3.17E-16
0.8,NA,4.12E-16
1,NA,4.99E-16
1.5,NA,6.86E-16
2,NA,8.41E-16
3,NA,1.10E-15
4,NA,1.33E-15
5,NA,1.54E-15
6,NA,1.74E-15
8,NA,2.13E-15
10,NA,2.52E-15
,Organ ID: 3200,Femora_lower_spongiosa
Photon Energy (MeV),AM,TM50
0.01,NA,5.30E-16
0.015,NA,2.44E-16
0.02,NA,1.48E-16
0.03,NA,8.23E-17
0.04,NA,6.15E-17
0.05,NA,5.35E-17
0.06,NA,5.06E-17
0.08,NA,5.11E-17
0.1,NA,5.56E-17
0.15,NA,7.26E-17
0.2,NA,9.49E-17
0.3,NA,1.51E-16
0.4,NA,2.07E-16
0.5,NA,2.61E-16
0.6,NA,3.11E-16
0.8,NA,4.05E-16
1,NA,4.90E-16
1.5,NA,6.73E-16
2,NA,8.27E-16
3,NA,1.09E-15
4,NA,1.32E-15
5,NA,1.54E-15
6,NA,1.75E-15
8,NA,2.17E-15
10,NA,2.59E-15
,Organ ID: 3300,Femora_lower_medullary cavity
Photon Energy (MeV),AM,TM50
0.01,NA,3.74E-16
0.015,NA,1.53E-16
0.02,NA,7.97E-17
0.03,NA,3.21E-17
0.04,NA,1.93E-17
0.05,NA,1.66E-17
0.06,NA,1.73E-17
0.08,NA,2.29E-17
0.1,NA,3.11E-17
0.15,NA,6.13E-17
0.2,NA,9.48E-17
0.3,NA,1.53E-16
0.4,NA,2.10E-16
0.5,NA,2.65E-16
0.6,NA,3.17E-16
0.8,NA,4.12E-16
1,NA,4.99E-16
1.5,NA,6.86E-16
2,NA,8.41E-16
3,NA,1.10E-15
4,NA,1.33E-15
5,NA,1.54E-15
6,NA,1.74E-15
8,NA,2.13E-15
10,NA,2.52E-15
,Organ ID: 3500,Tibiae_fibulae_and patellae_spongiosa
Photon Energy (MeV),AM,TM50
0.01,NA,4.57E-16
0.015,NA,2.10E-16
0.02,NA,1.27E-16
0.03,NA,7.10E-17
0.04,NA,5.30E-17
0.05,NA,4.61E-17
0.06,NA,4.34E-17
0.08,NA,4.38E-17
0.1,NA,4.83E-17
0.15,NA,6.84E-17
0.2,NA,9.49E-17
0.3,NA,1.51E-16
0.4,NA,2.08E-16
0.5,NA,2.61E-16
0.6,NA,3.12E-16
0.8,NA,4.06E-16
1,NA,4.92E-16
1.5,NA,6.75E-16
2,NA,8.29E-16
3,NA,1.09E-15
4,NA,1.32E-15
5,NA,1.54E-15
6,NA,1.75E-15
8,NA,2.16E-15
10,NA,2.58E-15
,Organ ID: 3600,Tibiae_fibulae_and patellae_medullary cavity
Photon Energy (MeV),AM,TM50
0.01,NA,4.38E-16
0.015,NA,1.79E-16
0.02,NA,9.35E-17
0.03,NA,3.76E-17
0.04,NA,2.25E-17
0.05,NA,1.94E-17
0.06,NA,2.03E-17
0.08,NA,2.69E-17
0.1,NA,3.53E-17
0.15,NA,6.30E-17
0.2,NA,9.48E-17
0.3,NA,1.53E-16
0.4,NA,2.10E-16
0.5,NA,2.65E-16
0.6,NA,3.17E-16
0.8,NA,4.12E-16
1,NA,4.99E-16
1.5,NA,6.86E-16
2,NA,8.41E-16
3,NA,1.10E-15
4,NA,1.33E-15
5,NA,1.54E-15
6,NA,1.74E-15
8,NA,2.13E-15
10,NA,2.52E-15
,Organ ID: 3800,Ankles and foot_spongiosa
Photon Energy (MeV),AM,TM50
0.01,NA,5.11E-16
0.015,NA,2.35E-16
0.02,NA,1.42E-16
0.03,NA,7.90E-17
0.04,NA,5.96E-17
0.05,NA,5.17E-17
0.06,NA,4.87E-17
0.08,NA,4.90E-17
0.1,NA,5.32E-17
0.15,NA,7.12E-17
0.2,NA,9.49E-17
0.3,NA,1.51E-16
0.4,NA,2.07E-16
0.5,NA,2.61E-16
0.6,NA,3.11E-16
0.8,NA,4.05E-16
1,NA,4.90E-16
1.5,NA,6.73E-16
2,NA,8.27E-16
3,NA,1.09E-15
4,NA,1.32E-15
5,NA,1.54E-15
6,NA,1.75E-15
8,NA,2.17E-15
10,NA,2.59E-15
,Organ ID: 4000,Mandible_spongiosa
Photon Energy (MeV),AM,TM50
0.01,6.14E-16,5.56E-16
0.015,2.58E-16,2.54E-16
0.02,1.39E-16,1.51E-16
0.03,6.02E-17,8.16E-17
0.04,3.72E-17,5.94E-17
0.05,2.96E-17,5.06E-17
0.06,2.79E-17,4.70E-17
0.08,3.19E-17,4.68E-17
0.1,4.00E-17,5.10E-17
0.15,6.56E-17,7.17E-17
0.2,9.47E-17,9.47E-17
0.3,1.52E-16,1.52E-16
0.4,2.08E-16,2.08E-16
0.5,2.61E-16,2.61E-16
0.6,3.12E-16,3.12E-16
0.8,4.07E-16,4.07E-16
1,4.92E-16,4.92E-16
1.5,6.76E-16,6.76E-16
2,8.30E-16,8.30E-16
3,1.09E-15,1.09E-15
4,1.32E-15,1.32E-15
5,1.54E-15,1.54E-15
6,1.75E-15,1.75E-15
8,2.16E-15,2.16E-15
10,2.58E-15,2.58E-15
,Organ ID: 4200,Pelvis_spongiosa
Photon Energy (MeV),AM,TM50
0.01,6.16E-16,5.13E-16
0.015,2.60E-16,2.35E-16
0.02,1.40E-16,1.39E-16
0.03,6.15E-17,7.48E-17
0.04,3.84E-17,5.45E-17
0.05,3.06E-17,4.63E-17
0.06,2.88E-17,4.30E-17
0.08,3.26E-17,4.24E-17
0.1,4.06E-17,4.58E-17
0.15,6.61E-17,6.71E-17
0.2,9.47E-17,9.47E-17
0.3,1.51E-16,1.51E-16
0.4,2.07E-16,2.07E-16
0.5,2.61E-16,2.61E-16
0.6,3.12E-16,3.12E-16
0.8,4.06E-16,4.06E-16
1,4.91E-16,4.91E-16
1.5,6.74E-16,6.74E-16
2,8.28E-16,8.28E-16
3,1.09E-15,1.09E-15
4,1.32E-15,1.32E-15
5,1.54E-15,1.54E-15
6,1.75E-15,1.75E-15
8,2.16E-15,2.16E-15
10,2.59E-15,2.59E-15
,Organ ID: 4400,Ribs_spongiosa
Photon Energy (MeV),AM,TM50
0.01,6.18E-16,6.15E-16
0.015,2.62E-16,2.77E-16
0.02,1.42E-16,1.64E-16
0.03,6.29E-17,8.61E-17
0.04,3.95E-17,6.17E-17
0.05,3.16E-17,5.19E-17
0.06,2.96E-17,4.80E-17
0.08,3.33E-17,4.77E-17
0.1,4.12E-17,5.17E-17
0.15,6.76E-17,7.12E-17
0.2,9.47E-17,9.47E-17
0.3,1.51E-16,1.51E-16
0.4,2.07E-16,2.07E-16
0.5,2.60E-16,2.60E-16
0.6,3.11E-16,3.11E-16
0.8,4.05E-16,4.05E-16
1,4.90E-16,4.90E-16
1.5,6.72E-16,6.72E-16
2,8.26E-16,8.26E-16
3,1.09E-15,1.09E-15
4,1.32E-15,1.32E-15
5,1.54E-15,1.54E-15
6,1.75E-15,1.75E-15
8,2.17E-15,2.17E-15
10,2.60E-15,2.60E-15
,Organ ID: 4600,Scapulae_spongiosa
Photon Energy (MeV),AM,TM50
0.01,6.16E-16,5.74E-16
0.015,2.60E-16,2.63E-16
0.02,1.40E-16,1.57E-16
0.03,6.16E-17,8.61E-17
0.04,3.85E-17,6.29E-17
0.05,3.07E-17,5.37E-17
0.06,2.89E-17,4.99E-17
0.08,3.27E-17,4.94E-17
0.1,4.07E-17,5.33E-17
0.15,6.61E-17,7.24E-17
0.2,9.48E-17,9.48E-17
0.3,1.51E-16,1.51E-16
0.4,2.06E-16,2.06E-16
0.5,2.60E-16,2.60E-16
0.6,3.10E-16,3.10E-16
0.8,4.04E-16,4.04E-16
1,4.89E-16,4.89E-16
1.5,6.71E-16,6.71E-16
2,8.24E-16,8.24E-16
3,1.09E-15,1.09E-15
4,1.32E-15,1.32E-15
5,1.54E-15,1.54E-15
6,1.75E-15,1.75E-15
8,2.17E-15,2.17E-15
10,2.61E-15,2.61E-15
,Organ ID: 4800,Cervical spine_spongiosa
Photon Energy (MeV),AM,TM50
0.01,6.19E-16,5.96E-16
0.015,2.64E-16,2.71E-16
0.02,1.44E-16,1.61E-16
0.03,6.43E-17,8.56E-17
0.04,4.09E-17,6.15E-17
0.05,3.28E-17,5.18E-17
0.06,3.08E-17,4.76E-17
0.08,3.42E-17,4.69E-17
0.1,4.18E-17,5.05E-17
0.15,6.68E-17,7.01E-17
0.2,9.47E-17,9.47E-17
0.3,1.50E-16,1.50E-16
0.4,2.06E-16,2.06E-16
0.5,2.59E-16,2.59E-16
0.6,3.09E-16,3.09E-16
0.8,4.02E-16,4.02E-16
1,4.87E-16,4.87E-16
1.5,6.68E-16,6.68E-16
2,8.21E-16,8.21E-16
3,1.08E-15,1.08E-15
4,1.32E-15,1.32E-15
5,1.54E-15,1.54E-15
6,1.76E-15,1.76E-15
8,2.18E-15,2.18E-15
10,2.62E-15,2.62E-15
,Organ ID: 5000,Thoracic spine_spongiosa
Photon Energy (MeV),AM,TM50
0.01,6.16E-16,6.04E-16
0.015,2.60E-16,2.74E-16
0.02,1.41E-16,1.62E-16
0.03,6.18E-17,8.57E-17
0.04,3.86E-17,6.11E-17
0.05,3.08E-17,5.14E-17
0.06,2.89E-17,4.73E-17
0.08,3.27E-17,4.68E-17
0.1,4.06E-17,5.07E-17
0.15,6.60E-17,7.07E-17
0.2,9.46E-17,9.46E-17
0.3,1.51E-16,1.51E-16
0.4,2.07E-16,2.07E-16
0.5,2.61E-16,2.61E-16
0.6,3.11E-16,3.11E-16
0.8,4.05E-16,4.05E-16
1,4.91E-16,4.91E-16
1.5,6.73E-16,6.73E-16
2,8.28E-16,8.28E-16
3,1.09E-15,1.09E-15
4,1.32E-15,1.32E-15
5,1.54E-15,1.54E-15
6,1.75E-15,1.75E-15
8,2.17E-15,2.17E-15
10,2.59E-15,2.59E-15
,Organ ID: 5200,Lumbar spine_spongiosa
Photon Energy (MeV),AM,TM50
0.01,6.17E-16,5.65E-16
0.015,2.61E-16,2.57E-16
0.02,1.41E-16,1.51E-16
0.03,6.20E-17,8.01E-17
0.04,3.88E-17,5.75E-17
0.05,3.10E-17,4.82E-17
0.06,2.91E-17,4.44E-17
0.08,3.28E-17,4.39E-17
0.1,4.07E-17,4.75E-17
0.15,6.61E-17,6.64E-17
0.2,9.46E-17,9.46E-17
0.3,1.51E-16,1.51E-16
0.4,2.07E-16,2.07E-16
0.5,2.60E-16,2.60E-16
0.6,3.11E-16,3.11E-16
0.8,4.05E-16,4.05E-16
1,4.91E-16,4.91E-16
1.5,6.73E-16,6.73E-16
2,8.27E-16,8.27E-16
3,1.09E-15,1.09E-15
4,1.32E-15,1.32E-15
5,1.54E-15,1.54E-15
6,1.75E-15,1.75E-15
8,2.17E-15,2.17E-15
10,2.60E-15,2.60E-15
,Organ ID: 5400,Sacrum_spongiosa
Photon Energy (MeV),AM,TM50
0.01,6.17E-16,5.44E-16
0.015,2.61E-16,2.47E-16
0.02,1.41E-16,1.45E-16
0.03,6.22E-17,7.69E-17
0.04,3.89E-17,5.47E-17
0.05,3.11E-17,4.61E-17
0.06,2.92E-17,4.26E-17
0.08,3.29E-17,4.21E-17
0.1,4.08E-17,4.57E-17
0.15,6.62E-17,6.73E-17
0.2,9.47E-17,9.47E-17
0.3,1.51E-16,1.51E-16
0.4,2.07E-16,2.07E-16
0.5,2.60E-16,2.60E-16
0.6,3.11E-16,3.11E-16
0.8,4.04E-16,4.04E-16
1,4.90E-16,4.90E-16
1.5,6.72E-16,6.72E-16
2,8.26E-16,8.26E-16
3,1.09E-15,1.09E-15
4,1.32E-15,1.32E-15
5,1.54E-15,1.54E-15
6,1.75E-15,1.75E-15
8,2.17E-15,2.17E-15
10,2.60E-15,2.60E-15
,Organ ID: 5600,Sternum_spongiosa
Photon Energy (MeV),AM,TM50
0.01,6.16E-16,5.73E-16
0.015,2.60E-16,2.61E-16
0.02,1.41E-16,1.54E-16
0.03,6.18E-17,8.08E-17
0.04,3.86E-17,5.76E-17
0.05,3.08E-17,4.84E-17
0.06,2.89E-17,4.47E-17
0.08,3.27E-17,4.43E-17
0.1,4.06E-17,4.79E-17
0.15,6.59E-17,6.70E-17
0.2,9.46E-17,9.46E-17
0.3,1.51E-16,1.51E-16
0.4,2.07E-16,2.07E-16
0.5,2.61E-16,2.61E-16
0.6,3.12E-16,3.12E-16
0.8,4.06E-16,4.06E-16
1,4.92E-16,4.92E-16
1.5,6.74E-16,6.74E-16
2,8.29E-16,8.29E-16
3,1.09E-15,1.09E-15
4,1.32E-15,1.32E-15
5,1.54E-15,1.54E-15
6,1.75E-15,1.75E-15
8,2.16E-15,2.16E-15
10,2.59E-15,2.59E-15
