Phantom Group,Sex,Compound Organ,Acronym,Constituent Organ IDs,Reference Mass (g),Phantom Mass (g),% Error
ICRP145,Male,Right breast adipose,RBreast-a,6400,6.8876813723224775,7.769029192598022,12.796001624249934
ICRP145,Male,Right breast glandular,RBreast-g,6500,4.5836158899336334,5.180136443151125,13.01419158022267
ICRP145,Male,Left breast adipose,LBreast-a,6200,6.887520596157155,7.769025257475426,12.798577499864033
ICRP145,Male,Left breast glandular,LBreast-g,6300,4.58361301966038,5.18013406814562,13.01421053493383
ICRP145,Male,RBreast-a + RBreast-g,RBreast,6400_6500,11.471297262256112,12.949165635749146,12.883184348780233
ICRP145,Male,LBreast-a + LBreast-g,LBreast,6200_6300,11.471133615817536,12.949159325621046,12.884739724114647
ICRP145,Male,RBreast-a + LBreast-a,Breast-a,6200_6400,13.775201968479632,15.538054450073448,12.79728954702493
ICRP145,Male,RBreast-g + LBreast-g,Breast-g,6300_6500,9.167228909594012,10.360270511296743,13.014201057575283
ICRP145,Male,Entire lens of eye,Lens-ent,6600_6601_6800_6801,0.43190108842848085,0.4563200232505511,5.653825719893692
ICRP145,Male,Sensitive lens of eye,Lens-sen,6600_6800,0.07361677337481601,0.0777788020465146,5.653641800500877
ICRP145,Male,Right kidney cortex,RKidney-C,9200,147.36370239894558,166.54194565312235,13.014224630606188
ICRP145,Male,Right kidney medulla,RKidney-M,9300,34.82936822852215,39.362138158463054,13.01421805931286
ICRP145,Male,Right kidney pelvis,RKidney-P,9400,6.9836222854053345,7.89248678926693,13.01422767037356
ICRP145,Male,Right kidney C+M+P,RKidney,9200_9300_9400,189.17669291287308,213.79657060085233,13.014223532979374
ICRP145,Male,Left kidney cortex,LKidney-C,8900,143.6442636351903,162.33844661404672,13.014221734836248
ICRP145,Male,Left kidney medulla,LKidney-M,9000,33.94199459608314,38.35928191888284,13.014224341752298
ICRP145,Male,Left kidney pelvis,LKidney-P,9100,6.770647506720763,7.651796291936333,13.014246928981501
