Phantom Group,Sex,Quantity,Organ ID,Organ/tissue,Reference (cm or g),Value (cm or g),% Error
ICRP145,Male,Height,,,165.0,176.004707,6.669519393939391
ICRP145,Male,Total Body Mass,,,64305.65943986049,72985.70586325703,13.498106541484479
ICRP145,Male,Organ,100,"Adrenal, left",7.682875779483626,8.682739521973351,13.014185979158535
ICRP145,Male,Organ,200,"Adrenal, right",7.682878120561571,8.682743131787394,13.01419852737087
ICRP145,Male,Organ,300,"ET1, 0~8 um",0.020909350507041794,0.02230901100703183,6.693945369171855
ICRP145,Male,Organ,301,"ET1, 8~40 um",0.08390790617048587,0.08953171140055799,6.702354386779187
ICRP145,Male,Organ,302,"ET1, 40~50 um",0.026311444646383204,0.028076494647082444,6.708297565644558
ICRP145,Male,Organ,303,"ET1, 50 um~surface",10.590084637630946,11.29120583068137,6.620543810944163
ICRP145,Male,Organ,400,"ET2, -15~0 um",0.13026326375295708,0.14120038752800593,8.39616900417219
ICRP145,Male,Organ,401,"ET2, 0~40 um",0.35961655400283893,0.3898324431019095,8.402251999453854
ICRP145,Male,Organ,402,"ET2, 40~50 um",0.0902278602647502,0.09782525443563121,8.42023090050948
ICRP145,Male,Organ,403,"ET2, 50~55 um",0.045177739814410006,0.04897425006887976,8.403497541191312
ICRP145,Male,Organ,404,"ET2, 55~65 um",0.09045939511482488,0.09805441233887986,8.396051305023898
ICRP145,Male,Organ,405,"ET2, 65 um~surface",26.65721265489982,28.8084848041517,8.070131626670499
ICRP145,Male,Organ,500,"Oral mucosa, tongue",0.07928266440780482,0.08596550427504501,8.429131282553508
ICRP145,Male,Organ,501,"Oral mucosa, mouth floor",0.021848301208725867,0.023515567380066747,7.631102095365656
ICRP145,Male,Organ,600,"Oral mucosa, lips, and cheeks",0.021373259965762476,0.023077684719165818,7.974566145424876
ICRP145,Male,Organ,700,Trachea,9.170181856473425,10.363608784459043,13.014212222445213
ICRP145,Male,Organ,800,"BB1, -11~-6 um",0.02226724751063029,0.02516398226537089,13.008948471775476
ICRP145,Male,Organ,801,"BB1, -6~0 um",0.027572477725654843,0.031163358595447697,13.023424682837678
ICRP145,Male,Organ,802,"BB1, 0~10 um",0.04602574961014392,0.05201120782342172,13.00458605015013
ICRP145,Male,Organ,803,"BB1, 10~35 um",0.11539195132946477,0.1304111259961421,13.015790524067741
ICRP145,Male,Organ,804,"BB1, 35~40 um",0.02314408795097901,0.02615675686520097,13.017012900240557
ICRP145,Male,Organ,805,"BB1, 40~50 um",0.04634119309153492,0.05236504327091515,12.998910423997259
ICRP145,Male,Organ,806,"BB1, 50~60 um",0.04641840943255409,0.05246035062305502,13.016260712853303
ICRP145,Male,Organ,807,"BB1, 60~70 um",0.04650029902436529,0.052550091060408664,13.010221789914505
ICRP145,Male,Organ,808,"BB1, 70 um~surface",2.4569212237893963,2.776674508378841,13.014388963447434
ICRP145,Male,Organ,900,"Blood in large arteries, head",296.0033216594926,1.5040307834011921,-99.49188719404596
ICRP145,Male,Organ,910,"Blood in large veins, head",888.5159014647871,6.943591122847132,-99.2185180803855
ICRP145,Male,Organ,1000,"Blood in large arteries, trunk",0.0,193.19678250210035,
ICRP145,Male,Organ,1010,"Blood in large veins, trunk",0.0,444.0353949335862,
ICRP145,Male,Organ,1100,"Blood in large arteries, arms",0.0,32.46345325332425,
ICRP145,Male,Organ,1110,"Blood in large veins, arms",0.0,167.26940209121452,
ICRP145,Male,Organ,1200,"Blood in large arteries, legs",0.0,108.83156714687131,
ICRP145,Male,Organ,1210,"Blood in large veins, legs",0.0,389.7405461384459,
ICRP145,Male,Organ,1300,"Humeri, upper, cortical",235.29476661760665,159.19645165276762,-32.34169465762557
ICRP145,Male,Organ,1400,"Humeri, upper, spongiosa",128.91177570946775,145.68865566281588,13.014233851807825
ICRP145,Male,Organ,1500,"Humeri, upper, medullary cavity",63.391080113217384,34.24398253797597,-45.979809025472164
ICRP145,Male,Organ,1600,"Humeri, lower, cortical",0.0,106.72012458296493,
ICRP145,Male,Organ,1700,"Humeri, lower, spongiosa",45.02954463198989,50.8897893178414,13.014221515551968
ICRP145,Male,Organ,1800,"Humeri, lower, medullary cavity",0.0,37.39695522125388,
ICRP145,Male,Organ,1900,"Ulnae and radii, cortical",241.68181638925523,273.40891971299067,13.127633595998564
ICRP145,Male,Organ,2000,"Ulnae and radii, spongiosa",137.134046341523,154.98098548211598,13.014229228055003
ICRP145,Male,Organ,2100,"Ulnae and radii, medullary cavity",20.34818660526051,22.996345760168317,13.01422680202468
ICRP145,Male,Organ,2200,"Wrists and hand bones, cortical",160.62490272893928,181.52898847752562,13.014224689594236
