Table D.1  -  Photon Dose Response Functions for Regional Absorbed Dose in the Skeletal Tissues of the ICRP Reference Phantoms (Gy m2),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Organ ID:  14,,,Organ ID:  15,,,Organ ID:  17,,,Organ ID:  18,,,Organ ID:  20,,,Organ ID:  21,,,Organ ID:  23,,,,,
,"Humeri, upper half",,,"Humeri, upper half",,,"Humeri, lower half",,,"Humeri, lower half",,,Ulnae and Radii,,,Ulnae and Radii,,,Wrist and Hands,,,,,
Photon,Source: spongiosa,,,Source: medullary cavity,,,Source: spongiosa,,,Source: medullary cavity,,,Source: spongiosa,,,Source: medullary cavity,,,Source: spongiosa,,,,,
Energy,Target Tissue,,,Target Tissue,,,Target Tissue,,,Target Tissue,,,Target Tissue,,,Target Tissue,,,Target Tissue,,,,,
(MeV),AM,TM50,,AM,TM50,,AM,TM50,,AM,TM50,,AM,TM50,,AM,TM50,,AM,TM50,,,,
,Organ ID:  25,,,Organ ID:  27,,,Organ ID:  29,,,Organ ID:  30,,,Organ ID:  32,,,Organ ID:  33,,,Organ ID:  35,,,,,
,Clavicles,,,Cranium,,,"Femora, upper half",,,"Femora, upper half",,,"Femora, lower half",,,"Femora, lower half",,,"Tibiae, Fibulae, Patellae",,,,,
Photon,Source: spongiosa,,,Source: spongiosa,,,Source: spongiosa,,,Source: medullary cavity,,,Source: spongiosa,,,Source: medullary cavity,,,Source: spongiosa,,,,,
Energy,Target Tissue,,,Target Tissue,,,Target Tissue,,,Target Tissue,,,Target Tissue,,,Target Tissue,,,Target Tissue,,,,,
(MeV),AM,TM50,,AM,TM50,,AM,TM50,,AM,TM50,,AM,TM50,,AM,TM50,,AM,TM50,,,,
0.010,6.14E-16,5.81E-16,,6.21E-16,5.78E-16,,6.16E-16,5.03E-16,,NA,3.74E-16,,NA,5.30E-16,,NA,3.74E-16,,NA,4.57E-16,,,,
0.015,2.58E-16,2.62E-16,,2.67E-16,2.58E-16,,2.60E-16,2.31E-16,,NA,1.53E-16,,NA,2.44E-16,,NA,1.53E-16,,NA,2.10E-16,,,,
0.020,1.38E-16,1.55E-16,,1.48E-16,1.50E-16,,1.40E-16,1.39E-16,,NA,7.97E-17,,NA,1.48E-16,,NA,7.97E-17,,NA,1.27E-16,,,,
0.030,6.00E-17,8.32E-17,,6.75E-17,7.57E-17,,6.16E-17,7.68E-17,,NA,3.21E-17,,NA,8.23E-17,,NA,3.21E-17,,NA,7.10E-17,,,,
0.040,3.71E-17,6.03E-17,,4.44E-17,5.48E-17,,3.84E-17,5.65E-17,,NA,1.93E-17,,NA,6.15E-17,,NA,1.93E-17,,NA,5.30E-17,,,,
