Phantom,Source Organ ID,Source Organ Name,Source Type,Source Energy (MeV),Target Organ IDs,Target Region Name,Target Region Mass (g),Dose (Gy/source),SAF (kg^-1),Relative Error,Statistical Uncertainty (%),Calculation Method
Adult Female,13200,Thyroid,photon,10.0,500_13300_13301,Tongue,61.4766985224,3.44598888279965e-14,0.0215081708824862,0.18475389408590806,18.475389408590807,
Adult Female,13200,Thyroid,photon,10.0,13400,Tonsils,3.0754149242855,2.5276e-14,0.015776038336608,0.5105,51.05,
Adult Female,13200,Thyroid,photon,10.0,7600_7601_7602_7800_7801_7802,Right colon wall (ascending + right transverse),181.35065812577278,3.7615822080854117e-16,0.0002347794948609299,0.5438132127756823,54.381321277568226,
Adult Female,13200,Thyroid,photon,10.0,8000_8001_8002_8200_8201_8202,Left colon wall (left transverse + descending),181.344670568124,4.762587137416057e-16,0.0002972573083608838,0.5681116200213108,56.81116200213108,
Adult Female,13200,Thyroid,photon,10.0,8400_8401_8402_8600,Rectosigmoid colon wall (sigmoid + rectum),87.5565272477364,6.626040212578182e-16,0.0004135649011454386,0.47962530580742213,47.96253058074221,
Adult Female,13200,Thyroid,photon,10.0,10000,Extrathoracic lymph nodes,12.6954704544888,1.8481e-14,0.0115349329205116,0.3149,31.490000000000002,
Adult Female,13200,Thyroid,photon,10.0,9700_9900,Alveolar-interstitium,949.7733446006616,1.2980768737378535e-14,0.008101958586782958,0.08243808094561925,8.243808094561924,
Adult Female,13200,Thyroid,photon,10.0,10100,Thoracic lymph nodes,12.6954425665464,1.4103e-14,0.0088024002477125,0.3532,35.32,
Adult Female,13200,Thyroid,photon,10.0,6600_6601_6800_6801,Entire lens of eye,0.45632004278399996,0.0,0.0,0.0,0.0,
Adult Female,13200,Thyroid,photon,10.0,11400,Pituitary gland,0.6150875890969,1.2918e-15,0.0008062781422387998,0.7551,75.51,
Adult Female,13200,Thyroid,photon,10.0,12600,Spinal cord,19.098306243841296,2.6668e-14,0.016644856399773,0.23069999999999996,23.069999999999997,
Adult Female,13200,Thyroid,photon,10.0,13500_13600,Ureters,15.377096770091198,0.0,0.0,0.0,0.0,
Adult Female,13200,Thyroid,photon,10.0,11600_11700_11800_11900,Adipose/residual tissue,22325.44390576201,3.257776036984348e-15,0.0020333438697399554,0.028858551322438593,2.8858551322438593,
