Category,Source Type,Source Energy (MeV),Phantom,Source Organ,Count,Average (s),Average (dhms),StdDev (s),Minimum (s),Maximum (s),Overall Wall Time (s),Overall Wall Time (dhms)
Type + Energy,photon,10.0,,,1,565.64,0d 00h 09m 26s,,565.64,565.64,,
Phantom + Type + Energy,photon,10.0,ICRP 145 Adult Female Resized to Filipino,,1,565.64,0d 00h 09m 26s,,565.64,565.64,,
Source Organ + Type + Energy,photon,10.0,,Liver,1,565.64,0d 00h 09m 26s,,565.64,565.64,,
All simulations,,,,,1,565.64,0d 00h 09m 26s,,565.64,565.64,536.0,0d 00h 08m 56s
