Phantom,Source Organ ID,Source Organ Name,Source Type,Source Energy (MeV),Number of Particles,Target Organ ID,Target Organ Name,Target Organ Mass (g),Dose (Gy/source),SAF (kg^-1),Relative Error,Statistical Uncertainty (%)
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,2600,Cranium_cortical,541.370032,0.0,0.0,0.0,0.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,2700,Cranium_spongiosa,363.80387,0.0,0.0,0.0,0.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,2800,Femora_upper_cortical,487.39544,1.9583e-17,1.2222747220517273e-05,0.8766,87.66000000000001
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,2900,Femora_upper_spongiosa,360.851625,6.6037e-18,4.12170534750191e-06,1.0,100.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,3000,Femora_upper_medullary cavity,93.4933221,0.0,0.0,0.0,0.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,3200,Femora_lower_spongiosa,327.35683800000004,0.0,0.0,0.0,0.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,3400,Tibiae_fibulae_and patellae_cortical,480.06313599999993,8.1841e-16,0.0005108113441629751,1.0,100.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,3500,Tibiae_fibulae_and patellae_spongiosa,554.272655,5.2883e-17,3.300697243847291e-05,1.0,100.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,3600,Tibiae_fibulae_and patellae_medullary cavity,71.680689,0.0,0.0,0.0,0.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,3700,Ankles and foot_cortical,215.77270399999998,0.0,0.0,0.0,0.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,3800,Ankles and foot_spongiosa,397.29814100000004,0.0,0.0,0.0,0.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,3900,Mandible_cortical,70.80024,3.0218e-16,0.00018860592121206708,0.774,77.4
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,4000,Mandible_spongiosa,51.724107599999996,0.0,0.0,0.0,0.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,4100,Pelvis_cortical,356.232688,1.9247e-15,0.0012013032515615378,0.5005,50.05
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,4200,Pelvis_spongiosa,548.312488,1.46e-15,0.0009112603248713282,0.5084,50.839999999999996
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,4300,Ribs_cortical,326.328464,1.3562e-14,0.008464734606784215,0.2148,21.48
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,4400,Ribs_spongiosa,404.68428,1.298e-14,0.008101478778650575,0.2421,24.21
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,4500,Scapulae_cortical,197.61425599999998,2.8695e-15,0.0017910010289166275,0.8059,80.58999999999999
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,4600,Scapulae_spongiosa,138.629028,3.1239e-15,0.0019497850197709192,0.9851,98.50999999999999
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,4700,Cervical spine_cortical,94.2599952,0.0,0.0,0.0,0.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,4800,Cervical spine_spongiosa,71.6494274,0.0,0.0,0.0,0.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,4900,Thoracic spine_cortical,256.108944,5.0861e-15,0.0031744939303616866,0.5996,59.96
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,5000,Thoracic spine_spongiosa,305.46788,1.0035e-14,0.006263354356221765,0.4881,48.809999999999995
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,5100,Lumbar spine_cortical,166.39265439999997,7.2518e-15,0.004526217550617738,0.6265,62.64999999999999
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,5200,Lumbar spine_spongiosa,258.006664,7.2121e-15,0.004501438759592127,0.5993,59.93000000000001
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,5300,Sacrum_cortical,97.6163664,1.8072e-15,0.0011279655199366192,1.0,100.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,5400,Sacrum_spongiosa,170.08861499999998,1.4385e-15,0.0008978410803612367,0.9742,97.42
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,5500,Sternum_cortical,8.84006256,2.0538e-14,0.012818811337128313,0.7097,70.97
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,5600,Sternum_spongiosa,54.3471747,2.9304e-15,0.001829011819180096,0.8525,85.25
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,5700,Cartilage_costal,49.844595500000004,2.4539e-14,0.015316039117820219,0.4643,46.43
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,5800,Cartilage_discs,72.6965421,3.7782e-15,0.002358166958512912,0.7275,72.75
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,6100,Brain,1449.54045,1.0457e-15,0.0006526746039164026,1.0,100.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,6200,Breast_left_adipose tissue,6.8875215999999995,0.0,0.0,0.0,0.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,6300,Breast_left_glandular tissue,4.58361614,0.0,0.0,0.0,0.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,6400,Breast_right_adipose tissue,6.887683609999999,3.5418e-15,0.0022106176839926505,1.0,100.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,6500,Breast_right_glandular tissue,4.58361614,0.0,0.0,0.0,0.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,6600,Eye lens_sensitive_left,0.036809772,0.0,0.0,0.0,0.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,6601,Eye lens_insensitive_left,0.17914848,0.0,0.0,0.0,0.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,6700,Cornea_left,1.0537439000000002,0.0,0.0,0.0,0.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,6701,Aqueous_left,0.291123575,0.0,0.0,0.0,0.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,6702,Vitreous_left,5.79460147,0.0,0.0,0.0,0.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,6800, Eye lens_sensitive_right,0.036807016000000005,0.0,0.0,0.0,0.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,6801,Eye lens_insensitive_right,0.17913576,0.0,0.0,0.0,0.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,6900,Cornea_right,1.0536724,0.0,0.0,0.0,0.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,6901,Aqueous_right,0.29110102499999996,0.0,0.0,0.0,0.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,6902,Vitreous_right,5.794178759999999,0.0,0.0,0.0,0.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,7000,Gallbladder wall,9.17019857,1.0789e-14,0.006733964140436137,0.5809,58.089999999999996
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,7100,Gallbladder contents,51.320986000000005,2.888e-14,0.018025478207043807,0.5776,57.76
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,7200,Stomach wall_0~60 um,1.5783347399999998,1.1238e-14,0.007014207897879442,0.5531,55.31
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,7201,Stomach wall_60~100 um,1.05546897,2.3335e-14,0.014564561425255097,0.753,75.3
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,7202,Stomach wall_100~300 um,5.31614939,1.4404e-14,0.008990269670853843,0.6337,63.370000000000005
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,7203,Stomach wall_300 um~surface,163.94969999999998,1.5934e-14,0.009945220559246399,0.3715,37.15
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,7300,Stomach contents,221.21112000000002,1.0204e-14,0.0063688358595801586,0.5441,54.410000000000004
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,7400,Small intestine wall_0~130 um,12.872281,5.5265e-15,0.0034493699900009557,0.5938,59.38
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,7401,Small intestine wall_130~150 um,2.00367066,5.4372e-15,0.0033936333139660173,0.6168,61.68
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,7402,Small intestine wall_150~200 um,5.036408269999999,5.4159e-15,0.0033803388996374154,0.618,61.8
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,7403,Small intestine wall_200 um~surface,743.3547839999999,6.4109e-15,0.0040013690525463,0.3352,33.52
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,7500,Small intestine contents_-500~0 um,47.195304,9.6144e-15,0.0060008364845499295,0.6409,64.09
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,7501,Small intestine contents_centre~500 um,262.50016,4.2248e-16,0.0002636912753778347,0.4854,48.54
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,7600,Ascending colon wall_0~280 um,2.7177592299999995,8.8351e-15,0.005514435682377172,1.0,100.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,7601,Ascending colon wall_280~300 um,0.19762523799999998,9.353e-15,0.005837683437343515,1.0,100.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,7602,Ascending colon wall_300 um~surface,103.20306959999999,9.0541e-15,0.005651124731107871,0.7497,74.97
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,7700,Ascending colon contents,48.666488,8.41e-15,0.005249109131621829,0.9404,94.04
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,7800,Transverse colon wall_right_0~280 um,3.5329138199999996,1.8311e-14,0.011428827266245814,0.6034,60.34
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,7801,Transverse colon wall_right_280~300 um,0.25538095299999997,1.8662e-14,0.0116479042347594,0.6166,61.660000000000004
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,7802,Transverse colon wall_right_300 um~surface,66.95732709999999,1.3194e-14,0.008235047072844042,0.437,43.7
