Phantom,Source Organ,Source Type,Source Energy (MeV),Organ ID,Marrow mass (kg),Endosteum mass (kg),Total fluence (photons/m2/source),Marrow excluded fluence (photons/m2/source),Endosteum excluded fluence (photons/m2/source),Marrow dose (Gy/source),Marrow Relative Error,Marrow Statistical Uncertainty (%),Endosteum dose (Gy/source),Endosteum Relative Error,Endosteum Statistical Uncertainty (%),Marrow mass fraction,Endosteum mass fraction,Total Active Marrow Mass (kg),Total Endosteum Mass (kg),RBM Dose (Gy/source),RBM Relative Error,RBM Statistical Uncertainty (%),RBM SAF (kg^-1),RBM SAF Statistical Uncertainty (kg^-1),Endosteum Dose (Gy/source),Endosteum SAF (kg^-1),Endosteum SAF Statistical Uncertainty (kg^-1)
Adult Male,Thyroid,photon,10.0,1500,,0.00019,1.313719,,0.0,,,,4.724039277357687e-16,,,,0.0003490080822924321,,,,,,,,,,
Adult Male,Thyroid,photon,10.0,1700,,0.01125,0.34993130000000006,,0.0,,,,2.1853403033903653e-16,,,,0.020664952240999266,,,,,,,,,,
Adult Male,Thyroid,photon,10.0,1800,,0.00025,0.80020511,,0.0,,,,2.517239168680399e-16,,,,0.0004592211609110948,,,,,,,,,,
Adult Male,Thyroid,photon,10.0,2000,,0.016309999999999998,0.2160727,,0.0,,,,3.389487305217077e-17,,,,0.02995958853783982,,,,,,,,,,
Adult Male,Thyroid,photon,10.0,2100,,8.999999999999999e-05,0.15282600000000002,,0.0,,,,5.775639710355797e-17,,,,0.0001653196179279941,,,,,,,,,,
Adult Male,Thyroid,photon,10.0,2300,,0.0125,0.0320987,,0.0,,,,1.7414295162356414e-17,,,,0.02296105804555474,,,,,,,,,,
Adult Male,Thyroid,photon,10.0,2500,0.009300000000000001,0.0025,4.839314,0.0,0.0,2.0091374583257238e-15,0.14812852114710123,14.812852114710124,2.0302230728230523e-15,,,0.00794735942573919,0.004592211609110948,,,,,,,,,,
Adult Male,Thyroid,photon,10.0,2700,0.0889,0.0834,1.2905285210000002,0.0,0.0,6.415445852597291e-16,0.1108979343131171,11.08979343131171,6.44059257915552e-16,,,0.07596991967185096,0.15319617927994122,,,,,,,,,,
Adult Male,Thyroid,photon,10.0,2900,0.07840000000000001,0.043340000000000004,0.08640711599999999,0.0,0.0,1.0004258233853754e-16,0.6001655822283476,60.01655822283476,1.0008916017206924e-16,,,0.06699709451375833,0.0796105804555474,,,,,,,,,,
Adult Male,Thyroid,photon,10.0,3000,,0.00086,0.19637999999999997,,0.0,,,,1.7516001957829364e-16,,,,0.001579720793534166,,,,,,,,,,
