Starting Datetime,Termination Datetime,Phantom,Source Organ,Source Type,Source Energy (MeV),Parallel Mode,maxcas (nps if Geant4),maxbch,Setup Time (s),Execution Time (s),Individual Wall Time (s)
2026-08-20T20:02:56,2026-08-20T20:06:24,Adult Female,Brain,photon,10.0,OMP-8,1000,10,183.65699999999998,213.183,396.84
2026-08-20T20:02:56,2026-08-20T20:06:24,Adult Female,Liver,photon,10.0,OMP-8,1000,10,183.955,209.595,393.55
2026-08-20T20:02:56,2026-08-20T20:06:24,Adult Male,Brain,photon,10.0,OMP-8,1000,10,183.694,215.886,399.58
2026-08-20T20:02:56,2026-08-20T20:06:21,Adult Male,Liver,photon,10.0,OMP-8,1000,10,184.445,180.185,364.63
