Phantom,Source Organ ID,Source Organ Name,Source Type,Source Energy (MeV),Target Organ ID,Target Organ Name,Target Organ Mass (g),Dose (Gy/source),SAF (kg^-1),Relative Error,Statistical Uncertainty (%)
Adult Female,9500,Liver,photon,10.0,2800,Femora_upper_cortical,244.1262813453408,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,2900,Femora_upper_spongiosa,232.80407020022523,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,3000,Femora_upper_medullary cavity,39.516336991600205,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,3100,Femora_lower_cortical,240.9294144816944,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,3200,Femora_lower_spongiosa,166.3336944750592,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,3300,Femora_lower_medullary cavity,56.7621266305122,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,3400,Tibiae_fibulae_and patellae_cortical,544.845224822808,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,3500,Tibiae_fibulae_and patellae_spongiosa,558.5291489631381,1.1072971749999999e-16,6.911205365887697e-05,0.9994998749,99.94998749
Adult Female,9500,Liver,photon,10.0,3600,Tibiae_fibulae_and patellae_medullary cavity,88.88342749903799,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,3700,Ankles and foot_cortical,173.475747018728,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,3800,Ankles and foot_spongiosa,257.4510646482572,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,3900,Mandible_cortical,45.3940998746592,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,4000,Mandible_spongiosa,33.4787570567117,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,4100,Pelvis_cortical,262.4548684390416,2.9777703219999997e-16,0.00018585780486424103,0.90406505,90.40650500000001
Adult Female,9500,Liver,photon,10.0,4200,Pelvis_spongiosa,455.598582299263,1.361584165e-17,8.49833992149011e-06,0.7100569926,71.00569926
Adult Female,9500,Liver,photon,10.0,4300,Ribs_cortical,164.4974276963248,1.078054522e-14,0.006728687081826879,0.2864481464,28.64481464
Adult Female,9500,Liver,photon,10.0,4400,Ribs_spongiosa,277.3248898476527,1.1638798770000002e-14,0.00726436681387823,0.2767933723,27.67933723
Adult Female,9500,Liver,photon,10.0,4500,Scapulae_cortical,121.6643960914704,2.555209541e-15,0.0015948363537301214,0.6277626794,62.77626794
Adult Female,9500,Liver,photon,10.0,4600,Scapulae_spongiosa,96.73013880382501,7.300975854e-15,0.004556910704516276,0.6473109621,64.73109621
Adult Female,9500,Liver,photon,10.0,4700,Cervical spine_cortical,71.59649605583999,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,4800,Cervical spine_spongiosa,75.6012198719456,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,4900,Thoracic spine_cortical,205.8277997232464,1.3651597480000002e-14,0.0085206569552311,0.3285443945,32.85443945
Adult Female,9500,Liver,photon,10.0,5000,Thoracic spine_spongiosa,271.91549457460803,2.2332522630000003e-14,0.013938864265075405,0.356710903,35.6710903
Adult Female,9500,Liver,photon,10.0,5100,Lumbar spine_cortical,156.1749221177376,6.874419786e-15,0.004290675347597428,0.3892439052,38.92439052
Adult Female,9500,Liver,photon,10.0,5200,Lumbar spine_spongiosa,264.9755764769145,1.37517124e-14,0.008583143773397995,0.4145694387,41.45694387
Adult Female,9500,Liver,photon,10.0,5300,Sacrum_cortical,80.2404585409728,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,5400,Sacrum_spongiosa,154.8396844743004,3.1596747900000002e-16,0.00019721138874131134,0.881293943,88.1293943
Adult Female,9500,Liver,photon,10.0,5500,Sternum_cortical,1.6852962481264,1.51074822e-14,0.009429348724356032,0.9994998749,99.94998749
Adult Female,9500,Liver,photon,10.0,5600,Sternum_spongiosa,51.346960600969695,1.7813197170000002e-14,0.011118123178172071,0.9994998749,99.94998749
Adult Female,9500,Liver,photon,10.0,5700,Cartilage_costal,41.9590737177857,2.650709756e-14,0.016544428995836705,0.4661960955,46.61960955
Adult Female,9500,Liver,photon,10.0,5800,Cartilage_discs,69.3505639721454,1.5625073860000002e-14,0.009752404028631574,0.4892520548,48.92520548
Adult Female,9500,Liver,photon,10.0,6100,Brain,1349.568113424676,9.174710379e-16,0.000572640380860814,0.9994998749,99.94998749
Adult Female,9500,Liver,photon,10.0,6200,Breast_left_adipose tissue,153.663305817896,3.599805179e-15,0.002246821669102075,0.8445816549,84.45816549
