Phantom,Source Organ ID,Source Organ Name,Source Type,Source Energy (MeV),Number of Particles,Target Organ IDs,Target Region Name,Target Region Mass (g),Dose (Gy/source),SAF (kg^-1),Relative Error,Statistical Uncertainty (%),Calculation Method
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,12700,Spleen,202.09854,6.834368667000001e-16,0.0004265677405329,0.3568572052999999,35.68572052999999,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,13100,Thymus,22.9254191,1.3587251000000002e-16,8.480495041348136e-05,0.44110055169999995,44.110055169999995,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,500_13300_13301,Tongue,69.831727665,2.2568092291848907e-18,1.4085895283285171e-06,0.9999499987000001,99.99499987000002,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,13400,Tonsils,2.90039889,0.0,0.0,0.0,0.0,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,7600_7601_7602_7800_7801_7802,Right colon wall (ascending + right transverse),176.864075941,5.5655820045987184e-14,0.03473763058636058,0.06698770095697856,6.698770095697856,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,8000_8001_8002_8200_8201_8202,Left colon wall (left transverse + descending),176.864152679,2.172806911736209e-15,0.0013561594056652577,0.32976722749098547,32.97672274909855,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,8400_8401_8402_8600,Rectosigmoid colon wall (sigmoid + rectum),82.53654105,1.1800332975155559e-17,7.3651885346096565e-06,0.5499805051999999,54.998050519999985,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,7601_7801,Stem cells of right colon (ascending + right transverse),0.45300619099999984,6.368794421355676e-14,0.03975088817426896,0.16327107803066324,16.327107803066323,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,8001_8201,Stem cells of left colon (left transverse + descending),0.361277319,2.095712812350135e-15,0.0013080410535747495,0.7255539360184053,72.55539360184054,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,8401,Stem cells of rectosigmoid colon (sigmoid + rectum),0.28629496,0.0,0.0,0.0,0.0,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,302,Basal cells of anterior nasal passages,0.0263114292999999,0.0,0.0,0.0,0.0,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,402,Basal cells of posterior nasal passages + pharynx,0.0902379656999999,0.0,0.0,0.0,0.0,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,10000,Extrathoracic lymph nodes,14.8160112,0.0,0.0,0.0,0.0,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,804_805,Bronchi basal cells,0.069485276,2.4359116138807226e-15,0.0015203764442621446,0.855139326080113,85.5139326080113,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,803_804,Bronchi secretory cells,0.1385356761999999,1.5947595466436067e-15,0.000995370618195939,0.8859628254629381,88.59628254629382,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,9700_9900,Alveolar-interstitium,1060.69435,3.9446379471014054e-14,0.024620493542297152,0.038444080777027996,3.8444080777028,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,10100,Thoracic lymph nodes,14.1126,2.4130947140000003e-14,0.0150613525549652,0.2441798063,24.41798063,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,9900,Right lung lobe,577.68,7.182348582000001e-14,0.0448286938504961,0.03870868346,3.8708683459999995,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,9700,Left lung lobe,483.01435,7.237063337e-16,0.0004517019649033,0.2543895114,25.43895114,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,200,Right adrenal gland,7.68288276,2.516002107e-13,0.1570364998220387,0.1422368998,14.223689980000001,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,100,Left adrenal gland,7.6828724,1.464468127e-15,0.0009140491103929,0.7255415065,72.55415065000001,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,6400,Right breast adipose,6.887683609999999,3.670094794e-14,0.0229069299608836,0.3569641042,35.69641042,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,6500,Right breast glandular,4.58361614,5.1530759500000004e-15,0.0032162970303312,0.9392371914,93.92371913999999,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,6200,Left breast adipose,6.8875216,4.746035067e-17,2.962242093839134e-05,0.9999499986999999,99.99499986999999,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,6300,Left breast glandular,4.58361614,1.0277066029999999e-16,6.414440088508144e-05,0.9722532516,97.22532516,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,6400_6500,RBreast-a + RBreast-g,11.47129975,2.409528525247255e-14,0.0150390941555037,0.33618172260214,33.618172260214,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,6200_6300,LBreast-a + LBreast-g,11.47113774,6.95611425595816e-17,4.341665025155144e-05,0.7051491998364666,70.51491998364666,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,6200_6400,RBreast-a + LBreast-a,13.77520521,1.8374419685918017e-14,0.011468410720761478,0.35650543699174325,35.65054369917433,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,6300_6500,RBreast-g + LBreast-g,9.16723228,2.62792330515e-15,0.0016402207156081408,0.9210679509954054,92.10679509954053,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,6600_6601_6800_6801,Entire lens of eye,0.43190102799999996,0.0,0.0,0.0,0.0,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,6600_6800,Sensitive lens of eye,0.07361678799999999,0.0,0.0,0.0,0.0,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,9200,Right kidney cortex,147.364191,7.699195445000002e-14,0.0480545982360174,0.07906478414,7.9064784139999995,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,9300,Right kidney medulla,34.829343900000005,6.919206992000001e-14,0.043186293228643,0.1500658331,15.00658331,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,9400,Right kidney pelvis,6.983622359999999,3.68306238e-14,0.0229878672665764,0.3795048993,37.950489929999996,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,9200_9300_9400,Right kidney C+M+P,189.17715726,7.407333343144062e-14,0.04623293827879225,0.06937322479848688,6.937322479848689,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,8900,Left kidney cortex,143.64394199999998,7.933750770999999e-16,0.000495185774317,0.5491165617000001,54.911656170000015,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,9000,Left kidney medulla,33.9419808,8.745119983e-17,5.458274573114605e-05,0.36186761540000006,36.186761540000006,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,9100,Left kidney pelvis,6.77064258,0.0,0.0,0.0,0.0,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,8900_9000_9100,Left kidney C+M+P,184.35656537999998,6.342697384481114e-16,0.0003958800328179236,0.5352562843850378,53.52562843850378,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,11400,Pituitary gland,0.587518443,0.0,0.0,0.0,0.0,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,12600,Spinal cord,33.886804899999994,6.873325172e-15,0.004289992143276,0.3357432652,33.57432652,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,13500_13600,Ureters,14.672284719999999,6.432783905210706e-16,0.00040150279118411945,0.48354164733210947,48.35416473321095,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,11600,Adipose/residual tissue,15614.3493,7.302829611e-15,0.00455806772863,0.01811664978,1.811664978,
