
=====================================================================
 Run #0 / Number of event processed : 1000
=====================================================================
organ ID|      Organ Mass (g)   Dose (Gy/source)     Relative Error
    5000|             271.915          0.000e+00               -nan
    5100|             156.175          2.420e-16              0.999
    5200|             264.976          5.579e-18              0.999
    5300|              80.240          0.000e+00               -nan
    5400|             154.840          0.000e+00               -nan
    5500|               1.685          0.000e+00               -nan
    5600|              51.347          0.000e+00               -nan
    5700|              41.959          0.000e+00               -nan
    5800|              69.351          0.000e+00               -nan
    6100|            1349.568          6.317e-14              0.112
    6200|             153.663          0.000e+00               -nan
    6300|             102.491          0.000e+00               -nan
    6400|             153.663          0.000e+00               -nan
    6500|             102.491          0.000e+00               -nan
    6600|               0.039          0.000e+00               -nan
    6601|               0.189          0.000e+00               -nan
    6700|               1.100          1.324e-13              0.999
    6701|               0.304          0.000e+00               -nan
    6702|               6.051          6.086e-15              0.999
    6800|               0.039          0.000e+00               -nan
    6801|               0.189          0.000e+00               -nan
    6900|               1.100          3.676e-14              0.999
    6901|               0.304          0.000e+00               -nan
    6902|               6.051          1.017e-13              0.999
    7000|               8.201          0.000e+00               -nan
    7100|              48.000          0.000e+00               -nan
    7200|               1.561          0.000e+00               -nan
    7201|               1.044          0.000e+00               -nan
    7202|               5.256          0.000e+00               -nan
    7203|             165.012          2.884e-15              0.706
    7300|             230.000          0.000e+00               -nan
    7400|              12.341          2.962e-16              0.999
    7401|               1.922          3.828e-16              0.999
    7402|               4.831          3.265e-16              0.999
    7403|             736.662          7.483e-16              0.706
    7500|              45.227          8.204e-16              0.999
    7501|             234.773          2.417e-16              0.999
    7600|               4.451          0.000e+00               -nan
    7601|               0.322          0.000e+00               -nan
    7602|             107.784          0.000e+00               -nan
    7700|             100.007          0.000e+00               -nan
    7800|               3.680          0.000e+00               -nan
    7801|               0.266          0.000e+00               -nan
    7802|              64.847          0.000e+00               -nan
    7900|              59.995          0.000e+00               -nan
    8000|               2.196          0.000e+00               -nan
    8001|               0.160          0.000e+00               -nan
    8002|              66.428          0.000e+00               -nan
    8100|              30.005          0.000e+00               -nan
    8200|               3.021          0.000e+00               -nan
    8201|               0.220          0.000e+00               -nan
    8202|             109.320          0.000e+00               -nan
    8300|              50.003          0.000e+00               -nan
    8400|               4.222          0.000e+00               -nan
    8401|               0.306          0.000e+00               -nan
    8402|              51.761          0.000e+00               -nan
    8500|              79.993          0.000e+00               -nan
    8600|              31.268          0.000e+00               -nan
    8700|             290.890          1.901e-15              0.999
    8800|             370.000          1.327e-15              0.999
    8900|             149.091          0.000e+00               -nan
    9000|              37.441          0.000e+00               -nan
    9100|               7.494          0.000e+00               -nan
    9200|             125.147          0.000e+00               -nan
    9300|              31.440          0.000e+00               -nan
    9400|               6.292          0.000e+00               -nan
    9500|            1810.000          8.574e-16              0.999
    9700|             427.256          3.571e-15              0.664
    9900|             522.518          1.416e-17              0.999
   10000|              12.695          7.303e-14              0.655
   10100|              12.695          0.000e+00               -nan
   10200|               4.386          0.000e+00               -nan
   10300|             103.641          3.765e-16              0.814
   10400|               8.771          0.000e+00               -nan
   10500|               8.771          0.000e+00               -nan
   10600|             445.022          2.167e-14              0.221
   10700|            8324.973          1.159e-15              0.318
   10800|            1479.724          6.847e-16              0.983
   10900|            7676.720          8.823e-18              0.742
   11000|               1.871          0.000e+00               -nan
   11001|               0.101          0.000e+00               -nan
   11002|              41.247          0.000e+00               -nan
   11003|              21.240          0.000e+00               -nan
   11100|               6.318          0.000e+00               -nan
