[ T-Deposit ]
    title = [t-deposit] in region mesh
     mesh =  reg            # mesh type is region-wise
      reg = all
   volume                   # combined, lattice or level structure 
   non     reg      vol     # reg definition
  168    14000   1.2961E+02 # 14000
     unit =    0            # unit is [Gy/source]
   letmat =    0            # (D=0) mat ID for LET, 0:real mat, <0: electron for H2O
  dedxfnc =    0            # (D=0) user defined multiplier, 0(no), 1, 2
 material =  all            # (D=all) number of specific material
   output =  dose           # total deposit energy
  deposit =    0            # (D=0) 0-> total deposit dist, 1-> each process
     axis =   reg           # axis of output
     file = phits_deposit_MRCP_AM_H165W65_source_Liver_photon_energy_10.0.out  # file name of output for the abo
     file = ve axis
     part =  all      
# kf/name :  0        
   mother =  all            # (D=all) number of specific mother
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :          88 (  0)           0 (  0)          88 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1

x: Serial Num. of Region
y: Dose [Gy/source]      
p: xlin ylog afac(0.8) form(0.9)
h:   x      n     n          y(all     ),l3 n   
#  num    reg     volume       all       r.err 
    1       1   1.0000E+00   0.0000E+00  0.0000
    2       3   1.0000E+00   0.0000E+00  0.0000
    3       4   1.0000E+00   0.0000E+00  0.0000
    4     100   7.4159E+00   7.4503E-16  1.0000
    5     200   7.4159E+00   1.4604E-14  1.0000
    6     300   2.0281E-02   0.0000E+00  0.0000
    7     301   8.1385E-02   0.0000E+00  0.0000
    8     302   2.5520E-02   0.0000E+00  0.0000
    9     303   1.0272E+01   0.0000E+00  0.0000
   10     400   1.3026E-01   0.0000E+00  0.0000
   11     401   3.4880E-01   0.0000E+00  0.0000
   12     402   8.7525E-02   0.0000E+00  0.0000
   13     403   4.3819E-02   0.0000E+00  0.0000
   14     404   8.7739E-02   0.0000E+00  0.0000
   15     405   2.5856E+01   0.0000E+00  0.0000
   16     500   7.5507E-02   0.0000E+00  0.0000
   17     501   2.0808E-02   0.0000E+00  0.0000
   18     600   2.0355E-02   0.0000E+00  0.0000
   19     700   8.8945E+00   0.0000E+00  0.0000
   20     800   2.2267E-02   1.2654E-14  1.0000
   21     801   2.6743E-02   1.2775E-14  1.0000
   22     802   4.4642E-02   1.2715E-14  1.0000
   23     803   1.1192E-01   1.2698E-14  1.0000
   24     804   2.2448E-02   1.2675E-14  1.0000
   25     805   4.4948E-02   1.2638E-14  1.0000
   26     806   4.5023E-02   1.2611E-14  1.0000
   27     807   4.5102E-02   1.2632E-14  1.0000
   28     808   2.3830E+00   1.1587E-14  1.0000
   29     900   2.7925E+02   5.7600E-15  0.7063
   30     910   8.3822E+02   3.3531E-15  0.4305
   31    1300   1.2358E+02   3.7893E-17  0.7110
   32    1400   1.0455E+02   1.1843E-16  1.0000
   33    1500   6.4619E+01   0.0000E+00  0.0000
   34    1700   4.0604E+01   1.1284E-16  1.0000
   35    1900   1.2702E+02   8.7299E-16  0.5741
   36    2000   1.2366E+02   0.0000E+00  0.0000
   37    2100   2.0742E+01   0.0000E+00  0.0000
   38    2200   8.4362E+01   6.7696E-16  1.0000
   39    2300   9.4889E+01   7.4479E-16  1.0000
   40    2400   2.2424E+01   1.6292E-16  1.0000
   41    2500   3.4459E+01   3.0617E-16  0.9219
   42    2600   2.8433E+02   0.0000E+00  0.0000
   43    2700   3.1228E+02   0.0000E+00  0.0000
   44    2800   2.5599E+02   1.9583E-17  0.8766
   45    2900   3.2076E+02   6.6037E-18  1.0000
   46    3000   9.5304E+01   0.0000E+00  0.0000
   47    3200   2.9518E+02   0.0000E+00  0.0000
   48    3400   2.5213E+02   8.1841E-16  1.0000
   49    3500   4.9980E+02   5.2883E-17  1.0000
   50    3600   7.3069E+01   0.0000E+00  0.0000
   51    3700   1.1333E+02   0.0000E+00  0.0000
   52    3800   3.5825E+02   0.0000E+00  0.0000
   53    3900   3.7185E+01   3.0218E-16  0.7740
   54    4000   4.0696E+01   0.0000E+00  0.0000
   55    4100   1.8710E+02   1.9247E-15  0.5005
   56    4200   4.8913E+02   1.4600E-15  0.5084
   57    4300   1.7139E+02   1.3562E-14  0.2148
   58    4400   3.4588E+02   1.2980E-14  0.2421
   59    4500   1.0379E+02   2.8695E-15  0.8059
   60    4600   1.1543E+02   3.1239E-15  0.9851
   61    4700   4.9506E+01   0.0000E+00  0.0000
   62    4800   6.8303E+01   0.0000E+00  0.0000
   63    4900   1.3451E+02   5.0861E-15  0.5996
   64    5000   2.8548E+02   1.0035E-14  0.4881
   65    5100   8.7391E+01   7.2518E-15  0.6265
   66    5200   2.3286E+02   7.2121E-15  0.5993
   67    5300   5.1269E+01   1.8072E-15  1.0000
   68    5400   1.6466E+02   1.4385E-15  0.9742
   69    5500   4.6429E+00   2.0538E-14  0.7097
   70    5600   5.2207E+01   2.9304E-15  0.8525
   71    5700   4.5355E+01   2.4539E-14  0.4643
   72    5800   6.6148E+01   3.7782E-15  0.7275
   73    6100   1.3925E+03   1.0457E-15  1.0000
   74    6200   7.2272E+00   0.0000E+00  0.0000
   75    6300   4.4893E+00   0.0000E+00  0.0000
   76    6400   7.2274E+00   3.5418E-15  1.0000
   77    6500   4.4893E+00   0.0000E+00  0.0000
   78    6600   3.4726E-02   0.0000E+00  0.0000
   79    6601   1.6901E-01   0.0000E+00  0.0000
   80    6700   9.5795E-01   0.0000E+00  0.0000
   81    6701   2.8402E-01   0.0000E+00  0.0000
   82    6702   5.6204E+00   0.0000E+00  0.0000
   83    6800   3.4724E-02   0.0000E+00  0.0000
   84    6801   1.6900E-01   0.0000E+00  0.0000
   85    6900   9.5788E-01   0.0000E+00  0.0000
   86    6901   2.8400E-01   0.0000E+00  0.0000
   87    6902   5.6200E+00   0.0000E+00  0.0000
   88    7000   8.8945E+00   1.0789E-14  0.5809
   89    7100   4.9826E+01   2.8880E-14  0.5776
   90    7200   1.5220E+00   1.1238E-14  0.5531
   91    7201   1.0178E+00   2.3335E-14  0.7530
   92    7202   5.1265E+00   1.4404E-14  0.6337
   93    7203   1.5810E+02   1.5934E-14  0.3715
   94    7300   2.1270E+02   1.0204E-14  0.5441
   95    7400   1.2413E+01   5.5265E-15  0.5938
   96    7401   1.9322E+00   5.4372E-15  0.6168
   97    7402   4.8567E+00   5.4159E-15  0.6180
   98    7403   7.1683E+02   6.4109E-15  0.3352
   99    7500   4.5380E+01   9.6144E-15  0.6409
  100    7501   2.5240E+02   4.2248E-16  0.4854
  101    7600   2.6208E+00   8.8351E-15  1.0000
  102    7601   1.9057E-01   9.3530E-15  1.0000
  103    7602   9.9521E+01   9.0541E-15  0.7497
  104    7700   4.6795E+01   8.4100E-15  0.9404
  105    7800   3.4069E+00   1.8311E-14  0.6034
  106    7801   2.4627E-01   1.8662E-14  0.6166
