Phantom,Source Organ ID,Source Organ Name,Source Type,Source Energy (MeV),Number of Particles,Target Organ IDs,Target Region Name,Target Region Mass (g),Dose (Gy/source),SAF (kg^-1),Relative Error,Statistical Uncertainty (%),Calculation Method
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,100_200,RAdrenal + LAdrenal,15.36575516,7.674519672042726e-15,0.0047900584175184,0.9526981566178914,95.26981566178914,
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,300_301_302_303_401_402_403_404_405,ET region,37.96397017849999,0.0,0.0,0.0,0.0,
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,7000,Gallbladder wall,9.17019857,1.0789e-14,0.0067339641404361,0.5809000000000001,58.09000000000001,
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,8700,Heart wall,341.40684,1.9557e-14,0.0122065192969236,0.2949,29.49,
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,8900_9000_9100_9200_9300_9400,RKidney + LKidney,373.53372264000006,1.3148711497676784e-14,0.008206780213022,0.3521296872640944,35.21296872640944,
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,10200_10300_10400_10500,Systemic lymph nodes,139.32107328,3.7496045697129446e-15,0.0023403190947504,0.5733999999999999,57.33999999999999,
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,10600_10700_10800_10900,Muscle,26267.367,2.6877e-15,0.0016775303939429,0.108,10.8,
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,500_501_600,Oral mucosa,0.122504235,0.0,0.0,0.0,0.0,
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,11300,Pancreas,153.63712800000002,2.7322e-14,0.0170530510932427,0.4753,47.53,
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,11500,Prostate,15.589338599999998,0.0,0.0,0.0,0.0,
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,7400_7401_7402_7403,Small intestine wall,763.2671439299999,6.386863270772763e-15,0.003986366506187,0.3278194846109891,32.781948461098914,
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,12700,Spleen,202.09854,4.2271e-15,0.0026383483008654,0.7984999999999999,79.85,
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,13100,Thymus,22.9254191,0.0,0.0,0.0,0.0,
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,500_13300_13301,Tongue,69.831727665,0.0,0.0,0.0,0.0,
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,13400,Tonsils,2.90039889,0.0,0.0,0.0,0.0,
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,7600_7601_7602_7800_7801_7802,Right colon wall (ascending + right transverse),176.864075941,1.0817137645226858e-14,0.0067515262772378,0.4187742123470812,41.87742123470812,
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,8000_8001_8002_8200_8201_8202,Left colon wall (left transverse + descending),176.864152679,6.9439568534964405e-15,0.0043340769713763,0.6400025868411958,64.00025868411959,
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,8400_8401_8402_8600,Rectosigmoid colon wall (sigmoid + rectum),82.53654105,1.3618711433925545e-17,8.500131099731413e-06,1.0,100.0,
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,10000,Extrathoracic lymph nodes,14.8160112,0.0,0.0,0.0,0.0,
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,9700_9900,Alveolar-interstitium,1060.69435,1.2653081350136352e-14,0.007897432206677,0.2276171661649803,22.761716616498035,
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,10100,Thoracic lymph nodes,14.1126,1.0004e-14,0.0062440056780908,1.0,100.0,
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,6600_6601_6800_6801,Entire lens of eye,0.4319010279999999,0.0,0.0,0.0,0.0,
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,11400,Pituitary gland,0.587518443,0.0,0.0,0.0,0.0,
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,12600,Spinal cord,33.886804899999994,1.0255e-16,6.40066755585991e-05,1.0,100.0,
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,13500_13600,Ureters,14.67228472,0.0,0.0,0.0,0.0,
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,11600_11700_11800_11900,Adipose/residual tissue,15614.3493,4.2125e-15,0.0026292356976167,0.092,9.2,
