Organ ID,Organ Mass (g),Dose (Gy/source),Relative Error
100,8.682739522,1.319825422e-15,0.07476602031
200,8.682743132,6.91184712e-15,0.03582791389
300,0.02230901101,0,0
301,0.0895317114,0,0
302,0.02807649465,0,0
303,11.29120583,7.456537126e-17,0.2543154007
400,0.1412003875,2.168964831e-16,0.6525413404
401,0.3898324431,1.554375859e-16,0.3970210473
402,0.09782525444,1.40263952e-16,0.5724577736
403,0.04897425007,1.249757038e-16,0.3673391506
404,0.09805441234,1.547604032e-16,0.5714256822
405,28.8084848,1.183407076e-16,0.1263374679
500,0.08596550428,1.024472303e-16,0.4288854099
501,0.02351556738,1.402814846e-16,0.5575060168
600,0.02307768472,2.949549145e-17,0.5856206215
700,10.36360878,4.867155604e-16,0.1117793695
800,0.02516398227,7.189642685e-16,0.3567946953
801,0.0311633586,6.703205405e-16,0.3107226528
802,0.05201120782,6.649273732e-16,0.3006321588
803,0.130411126,8.994876922e-16,0.3027537759
804,0.02615675687,8.307385786e-16,0.3401787772
805,0.05236504327,8.510452948e-16,0.2872297948
806,0.05246035062,1.365318835e-15,0.2736199284
807,0.05255009106,1.083431279e-15,0.2321384121
808,2.776674508,1.20200419e-15,0.1188801688
900,1.504030783,1.17302844e-16,0.455454951
910,6.943591123,1.489460584e-16,0.2307844116
1000,193.1967825,1.46449136e-15,0.0160322951
1010,444.0353949,9.441809886e-16,0.01291955397
1100,32.46345325,5.634698642e-16,0.05745639139
1110,167.2694021,4.627044006e-16,0.02951991664
1200,108.8315671,8.29400344e-18,0.2703976705
1210,389.7405461,4.475452633e-18,0.1709740445
1300,159.1964517,4.158616769e-16,0.03144203794
1400,145.6886557,3.136531372e-16,0.03972552552
1500,34.24398254,5.652566191e-16,0.0604461014
1600,106.7201246,6.659692474e-16,0.03059370787
1700,50.88978932,5.760472798e-16,0.04945722799
1800,37.39695522,7.009454987e-16,0.05179373788
1900,273.4089197,1.902749825e-16,0.03484518883
2000,154.9809855,3.118051009e-16,0.03925346615
2100,22.99634576,1.794309333e-16,0.1324102355
2200,181.5289885,3.037533742e-17,0.1086412504
2300,118.9268866,3.433214835e-17,0.1253173699
2400,48.25181227,4.557027268e-16,0.0529900012
2500,45.05701336,4.026263675e-16,0.05996790808
2600,568.4694168,5.815406111e-17,0.04452339712
2700,382.0729263,5.825368632e-17,0.0541239531
2800,253.5475846,3.32390244e-17,0.07817872713
2900,413.2322922,5.191314613e-17,0.0569654876
3000,26.04535047,1.51174609e-17,0.3998846839
3100,307.7609735,3.52766731e-18,0.1851795641
3200,373.6519545,3.152241796e-18,0.2361820481
3300,82.17888246,4.603248161e-18,0.3584745174
3400,536.6511904,5.376380214e-19,0.4854407021
3500,621.4076463,6.725540141e-19,0.3725574668
3600,79.81493797,9.344004649e-19,0.9999995
3700,234.8823428,6.171123453e-19,0.7344210538
3800,432.6150424,2.9123631e-19,0.5814933328
3900,76.87705058,1.479959353e-16,0.07608354086
4000,56.28731655,1.526034515e-16,0.08744926031
4100,402.5946743,1.780169212e-16,0.02706500045
4200,619.6715755,1.644876121e-16,0.02511760718
4300,368.7971196,1.985296097e-15,0.00905917722
4400,457.3511943,2.015842005e-15,0.008857677643
4500,223.3331223,5.220695421e-16,0.02306781403
