Spongiosa ID,Energy Low (MeV),Energy High (MeV),Energy Center (MeV),Fluence (photons/m2/source)
1400,0.01,0.0107151930524,0.0103514216668,6.74811301529e-06
1400,0.0107151930524,0.011481536215,0.0110917481526,3.86080100184e-06
1400,0.011481536215,0.0123026877081,0.0118850222744,4.08159702874e-06
1400,0.0123026877081,0.0131825673856,0.0127350308102,0
1400,0.0131825673856,0.0141253754462,0.0136458313659,0
1400,0.0141253754462,0.0151356124844,0.0146217717446,2.55634813123e-05
1400,0.0151356124844,0.0162181009736,0.0156675107011,0
1400,0.0162181009736,0.0173780082875,0.0167880401812,7.65110392912e-05
1400,0.0173780082875,0.0186208713666,0.0179887091513,0
1400,0.0186208713666,0.0199526231497,0.0192752491319,0
1400,0.0199526231497,0.021379620895,0.0206538015581,7.68625087915e-05
1400,0.021379620895,0.0229086765277,0.0221309470961,2.17006323448e-05
1400,0.0229086765277,0.0245470891569,0.0237137370566,0
1400,0.0245470891569,0.026302679919,0.0254097270555,6.27708569826e-06
1400,0.026302679919,0.0281838293126,0.0272270130808,0.000120029319833
1400,0.0281838293126,0.030199517204,0.02917427014,0.000234574579855
1400,0.030199517204,0.032359365693,0.0312607936712,0.000259587865214
1400,0.032359365693,0.0346736850453,0.0334965439158,0.000191210413014
1400,0.0346736850453,0.0371535229097,0.0358921934645,0.00100089798391
1400,0.0371535229097,0.0398107170553,0.0384591782045,0.00173176884065
1400,0.0398107170553,0.0426579518802,0.0412097519097,0.0031991994396
1400,0.0426579518802,0.0457088189615,0.0441570447353,0.00485185241857
1400,0.0457088189615,0.0489778819368,0.0473151258961,0.00656132985028
1400,0.0489778819368,0.052480746025,0.0506990708275,0.00840427141515
1400,0.052480746025,0.056234132519,0.0543250331492,0.0108602181453
1400,0.056234132519,0.0602559586074,0.0582103217771,0.014810024026
1400,0.0602559586074,0.0645654229035,0.0623734835482,0.0171464776242
1400,0.0645654229035,0.0691830970919,0.0668343917569,0.0179346519934
1400,0.0691830970919,0.0741310241301,0.0716143410213,0.0172468636334
1400,0.0741310241301,0.0794328234724,0.0767361489362,0.0217445467495
1400,0.0794328234724,0.0851138038202,0.0822242649947,0.0207959088415
1400,0.0851138038202,0.0912010839356,0.0881048873008,0.0265640046282
1400,0.0912010839356,0.0977237220956,0.0944060876286,0.0207044275897
1400,0.0977237220956,0.104712854805,0.101157945426,0.024051901398
1400,0.104712854805,0.11220184543,0.108392691402,0.0210269576357
1400,0.11220184543,0.120226443462,0.116144861384,0.0259330122554
1400,0.120226443462,0.128824955169,0.124451461177,0.0290205292542
1400,0.128824955169,0.13803842646,0.133352143216,0.0216803741264
1400,0.13803842646,0.147910838817,0.142889395851,0.0288685549502
1400,0.147910838817,0.158489319246,0.153108746168,0.0218699262707
1400,0.158489319246,0.169824365246,0.16405897732,0.0247843440994
1400,0.169824365246,0.181970085861,0.175792361396,0.023522973948
1400,0.181970085861,0.194984459976,0.188364908949,0.0237223181388
1400,0.194984459976,0.208929613085,0.201836636368,0.0303643235988
1400,0.208929613085,0.223872113857,0.216271852373,0.033772086228
1400,0.223872113857,0.239883291902,0.231739464997,0.0322756860101
1400,0.239883291902,0.257039578277,0.24831331053,0.0261770628522
1400,0.257039578277,0.275422870334,0.26607250598,0.0294730373573
1400,0.275422870334,0.295120922667,0.28510182675,0.0246065941453
1400,0.295120922667,0.316227766017,0.305492111322,0.0239426066044
1400,0.316227766017,0.338844156139,0.327340694879,0.0264555242637
1400,0.338844156139,0.36307805477,0.350751873953,0.0197093986773
1400,0.36307805477,0.389045144994,0.375837404288,0.0170158883799
1400,0.389045144994,0.41686938347,0.402717034325,0.0250974518077
1400,0.41686938347,0.446683592151,0.431519076828,0.0224768906584
1400,0.446683592151,0.478630092323,0.462381021399,0.0196889985406
1400,0.478630092323,0.512861383991,0.495450190805,0.0257010597823
1400,0.512861383991,0.549540873858,0.530884444231,0.021544987092
1400,0.549540873858,0.588843655356,0.568852930844,0.0246431789711
1400,0.588843655356,0.63095734448,0.60953689724,0.0239932842362
1400,0.63095734448,0.676082975392,0.653130552647,0.0261606362699
1400,0.676082975392,0.724435960075,0.699841996002,0.0294438248745
1400,0.724435960075,0.776247116629,0.749894209332,0.0274464912759
1400,0.776247116629,0.831763771103,0.803526122186,0.0269606970044
1400,0.831763771103,0.891250938134,0.860993752185,0.0260881048728
1400,0.891250938134,0.954992586021,0.922571427155,0.0314115854221
1400,0.954992586021,1.02329299228,0.988553094657,0.305534002743
1400,1.02329299228,1.09647819614,1.05925372518,0
1400,1.09647819614,1.17489755494,1.13501081567,0
1400,1.17489755494,1.25892541179,1.21618600065,0
1400,1.25892541179,1.34896288259,1.30316677845,0
1400,1.34896288259,1.44543977075,1.39636836106,0
1400,1.44543977075,1.54881661891,1.49623565609,0
1400,1.54881661891,1.65958690744,1.60324539069,0
1400,1.65958690744,1.77827941004,1.71790838716,0
