Spongiosa ID,Energy (MeV),Fluence (photons/m2/source)
1400,0.001,0
1400,0.00107151930524,0
1400,0.0011481536215,0
1400,0.00123026877081,0
1400,0.00131825673856,0
1400,0.00141253754462,0
1400,0.00151356124844,0
1400,0.00162181009736,0
1400,0.00173780082875,0
1400,0.00186208713666,0
1400,0.00199526231497,0
1400,0.0021379620895,0
1400,0.00229086765277,0
1400,0.00245470891569,0
1400,0.0026302679919,0
1400,0.00281838293126,0
1400,0.0030199517204,0
1400,0.0032359365693,0
1400,0.00346736850453,0
1400,0.00371535229097,0
1400,0.00398107170553,0
1400,0.00426579518802,0
1400,0.00457088189615,0
1400,0.00489778819368,0
1400,0.0052480746025,0
1400,0.0056234132519,0
1400,0.00602559586074,0
1400,0.00645654229035,0
1400,0.00691830970919,0
1400,0.00741310241301,0
1400,0.00794328234724,0
1400,0.00851138038202,0
1400,0.00912010839356,0
1400,0.00977237220956,0
1400,0.0104712854805,0
1400,0.011220184543,0
1400,0.0120226443462,0
1400,0.0128824955169,0
1400,0.013803842646,0
1400,0.0147910838817,0
1400,0.0158489319246,0
1400,0.0169824365246,0
1400,0.0181970085861,0
1400,0.0194984459976,0
1400,0.0208929613085,0
1400,0.0223872113857,0
1400,0.0239883291902,0
1400,0.0257039578277,0
1400,0.0275422870334,0
1400,0.0295120922667,0
1400,0.0316227766017,0
1400,0.0338844156139,0
1400,0.036307805477,0
1400,0.0389045144994,0.000207749541952
1400,0.041686938347,0.00674404401946
1400,0.0446683592151,0.00462119089301
1400,0.0478630092323,0.00155427361822
1400,0.0512861383991,0.0123093030485
1400,0.0549540873858,0.00180504555351
1400,0.0588843655356,0.00413601717255
1400,0.063095734448,0.0162509405042
1400,0.0676082975392,0.0174225794473
1400,0.0724435960075,0.0176054493224
1400,0.0776247116629,0.0160827213475
1400,0.0831763771103,0.0217290470141
1400,0.0891250938134,0.0261062537342
1400,0.0954992586021,0.0243106593591
1400,0.102329299228,0.0413734824454
1400,0.109647819614,0.031099838502
1400,0.117489755494,0.0186085746451
1400,0.125892541179,0.0478934281069
1400,0.134896288259,0.0319084241282
1400,0.144543977075,0.0247678501835
1400,0.154881661891,0.0249613599343
1400,0.165958690744,0.0292239761127
1400,0.177827941004,0.0400793116602
1400,0.190546071796,0.0213585940749
1400,0.204173794467,0.022447064322
1400,0.218776162395,0.0183797291745
1400,0.234422881532,0.0300567630389
1400,0.251188643151,0.0190568209106
1400,0.269153480393,0.0169454524081
1400,0.288403150313,0.0223935701595
1400,0.309029543251,0.0319206094765
1400,0.331131121483,0.017971781243
1400,0.354813389234,0.0145447652534
1400,0.380189396321,0.0232040912496
1400,0.407380277804,0.0184344792194
1400,0.43651583224,0.0198830102371
1400,0.467735141287,0.0197067696961
1400,0.501187233627,0.0166756410982
1400,0.53703179637,0.0338279107003
1400,0.575439937337,0.0152735625795
1400,0.616595001861,0.0330577372165
1400,0.660693448008,0.0414722780226
1400,0.707945784384,0.0348388349517
1400,0.758577575029,0.0157379139658
1400,0.812830516164,0.0134422926832
1400,0.870963589956,0.0248294619059
1400,0.933254300797,0.0300288266214
1400,1,0.333160937787
2500,0.001,0
2500,0.00107151930524,0
2500,0.0011481536215,0
2500,0.00123026877081,0
2500,0.00131825673856,0
2500,0.00141253754462,0
2500,0.00151356124844,0
2500,0.00162181009736,0
2500,0.00173780082875,0
2500,0.00186208713666,0
2500,0.00199526231497,0
2500,0.0021379620895,0
2500,0.00229086765277,0
2500,0.00245470891569,0
2500,0.0026302679919,0
2500,0.00281838293126,0
2500,0.0030199517204,0
2500,0.0032359365693,0
2500,0.00346736850453,0
2500,0.00371535229097,2.90559458815e-06
2500,0.00398107170553,0
2500,0.00426579518802,0
2500,0.00457088189615,0
2500,0.00489778819368,0
2500,0.0052480746025,0
2500,0.0056234132519,0
2500,0.00602559586074,0
2500,0.00645654229035,0
2500,0.00691830970919,0
2500,0.00741310241301,0
2500,0.00794328234724,0
2500,0.00851138038202,0
2500,0.00912010839356,0
2500,0.00977237220956,0
2500,0.0104712854805,0
2500,0.011220184543,0
2500,0.0120226443462,0
2500,0.0128824955169,0
2500,0.013803842646,0
2500,0.0147910838817,0.000180084115246
2500,0.0158489319246,0
2500,0.0169824365246,0
2500,0.0181970085861,0
2500,0.0194984459976,0
2500,0.0208929613085,0
2500,0.0223872113857,0
2500,0.0239883291902,0
2500,0.0257039578277,0
2500,0.0275422870334,0
2500,0.0295120922667,0
2500,0.0316227766017,0
2500,0.0338844156139,0
2500,0.036307805477,0
2500,0.0389045144994,0
2500,0.041686938347,0.00849175726177
2500,0.0446683592151,0.00577210521133
2500,0.0478630092323,0.0118529082562
2500,0.0512861383991,0.0144381895937
2500,0.0549540873858,0.0123144366356
2500,0.0588843655356,0.0101632787762
2500,0.063095734448,0.0141807350619
2500,0.0676082975392,0.0221781747539
2500,0.0724435960075,0.017957884314
2500,0.0776247116629,0.0192099220937
2500,0.0831763771103,0.0295386295812
2500,0.0891250938134,0.0272152220282
2500,0.0954992586021,0.0344533883626
2500,0.102329299228,0.0399563294551
2500,0.109647819614,0.0445268645129
2500,0.117489755494,0.0465005228361
2500,0.125892541179,0.0356970930906
2500,0.134896288259,0.0164851922777
2500,0.144543977075,0.0334995089013
2500,0.154881661891,0.0352368466841
2500,0.165958690744,0.043379403668
2500,0.177827941004,0.0649404949762
2500,0.190546071796,0.0402159381384
2500,0.204173794467,0.0403192978373
2500,0.218776162395,0.0483434401566
2500,0.234422881532,0.0247822219006
2500,0.251188643151,0.0323584893465
2500,0.269153480393,0.0227773181332
2500,0.288403150313,0.0388913833729
2500,0.309029543251,0.0344284396458
2500,0.331131121483,0.0152013238661
2500,0.354813389234,0.0271963995241
2500,0.380189396321,0.0361769087644
2500,0.407380277804,0.0530177862536
2500,0.43651583224,0.0109337988258
2500,0.467735141287,0.0325009306712
2500,0.501187233627,0.0218332507949
2500,0.53703179637,0.0176633547941
2500,0.575439937337,0.0231199143482
2500,0.616595001861,0.0164404554047
2500,0.660693448008,0.0397402543884
2500,0.707945784384,0.0395015284252
2500,0.758577575029,0.0372897701361
2500,0.812830516164,0.0345711206424
2500,0.870963589956,0.0309553568369
2500,0.933254300797,0.033757411433
2500,1,0.50128120776
2700,0.001,0
2700,0.00107151930524,0
2700,0.0011481536215,0
2700,0.00123026877081,0
2700,0.00131825673856,0
2700,0.00141253754462,0
2700,0.00151356124844,0
2700,0.00162181009736,0
2700,0.00173780082875,0
2700,0.00186208713666,0
2700,0.00199526231497,0
2700,0.0021379620895,0
2700,0.00229086765277,0
2700,0.00245470891569,0
2700,0.0026302679919,0
2700,0.00281838293126,0
2700,0.0030199517204,0
2700,0.0032359365693,0
2700,0.00346736850453,0
2700,0.00371535229097,0
2700,0.00398107170553,0
2700,0.00426579518802,0
2700,0.00457088189615,0
2700,0.00489778819368,0
2700,0.0052480746025,0
2700,0.0056234132519,0
2700,0.00602559586074,0
2700,0.00645654229035,0
2700,0.00691830970919,0
2700,0.00741310241301,0
2700,0.00794328234724,0
2700,0.00851138038202,0
2700,0.00912010839356,0
2700,0.00977237220956,0
2700,0.0104712854805,0
2700,0.011220184543,0
2700,0.0120226443462,0
2700,0.0128824955169,0
2700,0.013803842646,0
2700,0.0147910838817,0
2700,0.0158489319246,0
2700,0.0169824365246,0
2700,0.0181970085861,0
2700,0.0194984459976,0
2700,0.0208929613085,0
2700,0.0223872113857,0
2700,0.0239883291902,0
2700,0.0257039578277,0
2700,0.0275422870334,0
2700,0.0295120922667,0
2700,0.0316227766017,0
2700,0.0338844156139,0
2700,0.036307805477,0.000178595898731
2700,0.0389045144994,0.0006523937463
2700,0.041686938347,0.000733598677405
2700,0.0446683592151,0.000894889301838
2700,0.0478630092323,0.000983230566655
2700,0.0512861383991,0.00102149576196
2700,0.0549540873858,0.00225663519857
2700,0.0588843655356,0.00132760715196
2700,0.063095734448,0.00405249131418
2700,0.0676082975392,0.00255060950851
2700,0.0724435960075,0.00181945891302
2700,0.0776247116629,0.00128916012766
2700,0.0831763771103,0.00278880672402
2700,0.0891250938134,0.00260033246163
2700,0.0954992586021,0.00217932673523
2700,0.102329299228,0.00484003635341
2700,0.109647819614,0.00262296898985
2700,0.117489755494,0.00478996375665
2700,0.125892541179,0.00421478911895
2700,0.134896288259,0.0042020421419
2700,0.144543977075,0.00525312487179
2700,0.154881661891,0.00528834065188
2700,0.165958690744,0.00501360230351
2700,0.177827941004,0.00193256796301
2700,0.190546071796,0.00398313407633
2700,0.204173794467,0.00241643344608
2700,0.218776162395,0.00520886789212
2700,0.234422881532,0.00527105538712
2700,0.251188643151,0.00424010574271
2700,0.269153480393,0.00210468237058
2700,0.288403150313,0.00561477738794
2700,0.309029543251,0.0039687516192
2700,0.331131121483,0.00677894185928
2700,0.354813389234,0.00377915971941
2700,0.380189396321,0.00395977783033
2700,0.407380277804,0.0043660978693
2700,0.43651583224,0.00341343875665
2700,0.467735141287,0.00294684683471
2700,0.501187233627,0.00386268144018
2700,0.53703179637,0.00689478192536
2700,0.575439937337,0.00327588959905
2700,0.616595001861,0.00525276578999
2700,0.660693448008,0.005930252048
2700,0.707945784384,0.00979305732267
2700,0.758577575029,0.0035608814738
2700,0.812830516164,0.00548253460988
2700,0.870963589956,0.00716205511635
2700,0.933254300797,0.00577501586416
2700,1,0.0510505365034
2900,0.001,0
2900,0.00107151930524,0
2900,0.0011481536215,0
2900,0.00123026877081,0
2900,0.00131825673856,0
2900,0.00141253754462,0
2900,0.00151356124844,0
2900,0.00162181009736,0
2900,0.00173780082875,0
2900,0.00186208713666,0
2900,0.00199526231497,0
2900,0.0021379620895,0
2900,0.00229086765277,0
2900,0.00245470891569,0
2900,0.0026302679919,0
2900,0.00281838293126,0
2900,0.0030199517204,0
2900,0.0032359365693,0
2900,0.00346736850453,0
2900,0.00371535229097,1.09814132599e-06
2900,0.00398107170553,0
2900,0.00426579518802,0
2900,0.00457088189615,0
2900,0.00489778819368,0
2900,0.0052480746025,0
2900,0.0056234132519,0
2900,0.00602559586074,0
2900,0.00645654229035,0
2900,0.00691830970919,0
2900,0.00741310241301,0
2900,0.00794328234724,0
2900,0.00851138038202,0
